GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,6.048785761349141,22.43766504513073,5.37233125153703
3269,9.98,11.15616496083881,11.410034708944318,9.907563118823647
3291,9.92,8.056524135683452,8.647844924978559,5.475033858577856
3352,10.62,0.5811384582641466,38.36592181619255,0.888641238725324
3367,10.65,3.9887539160945913,26.214663075372727,3.7389571255031044
3414,10.73,21.257453668702542,14.937695504122896,17.942833496609072
3484,10.11,4.267095383734787,14.862703490008307,3.8742727473054273
3534,9.67,15.756871633935067,18.544779073924555,12.687805941748252
3565,9.29,16.56614781032047,22.75615737669148,13.112119923744482
3639,10.6,2.612938179140839,22.29223789310955,2.4788125570867203
3664,10.82,6.1014342083009705,16.14676498342108,6.441375103556801
