GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,7.723726763604116,6.992981603424832,5.2397419734776385
3269,9.98,2.6239220736518853,4.970085048550889,2.29528239435163
3291,9.92,11.458738301602743,9.626104534313082,7.481336036649976
3352,10.62,3.9220361712150487,24.294449651724957,3.011623894586672
3367,10.65,1.7473758510927084,20.24819813098389,1.4674811342833107
3414,10.73,13.18519478790454,11.718645426029257,8.42199369375232
3484,10.11,1.887794352711658,8.296261652851909,1.9663551878396857
3534,9.67,9.09406641987357,8.338029397129738,6.9547459385063135
3565,9.29,8.592815718310774,12.862610659122478,5.921868599876841
3639,10.6,3.493708538919238,13.14388864708407,1.8405766313151601
3664,10.82,4.60696756935986,16.707184570048184,4.824287295155621
