GMP,log_Ms,m_%Ms_ip,e+,e-
3254,9.92,4.84061454946657,15.14307921342766,4.1871084872107325
3269,9.98,3.5740415012481597,15.247955835843872,3.3701432480045423
3291,9.92,7.438134602897484,8.10965915663326,4.986859872683502
3352,10.62,3.93420882914638,31.042107791230343,4.139269554343795
3367,10.65,2.91578853440142,16.396048962296277,3.0326907881844303
3414,10.73,13.595775364889084,17.23889239975805,12.536780596510576
3484,10.11,2.8187764842708463,13.113883952092433,3.1199860548043334
3534,9.67,13.05008729520945,16.49805686980872,9.94099486917446
3565,9.29,6.441955405356414,20.701220552699773,3.7840398397576465
3639,10.6,2.8440260568506126,21.5872088775969,2.7018798357067846
3664,10.82,4.750806751287406,26.362714213187992,5.043447432215441
