Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
773608581528389.9,773608581528389.9,0.0,0.0,,773608581528389.9,0.0,0.0,,,0.0,0.0
1016100464419166.8,1016100464419166.8,0.0,0.0,,1016100464419166.8,0.0,0.0,,,0.0,0.0
782225974252336.8,782225974252336.8,0.0,0.0,,782225974252336.8,0.0,0.0,,,0.0,0.0
718189050718156.5,718189050718156.5,0.0,0.0,,718189050718156.5,0.0,0.0,,,0.0,0.0
726834545898446.0,726834545898446.0,0.0,0.0,,726834545898446.0,0.0,0.0,,,0.0,0.0
697932036909754.8,697932036909754.8,0.0,0.0,,697932036909754.8,0.0,0.0,,,0.0,0.0
1504180159359432.8,1504180159359432.8,0.0,0.0,,1504180159359432.8,0.0,0.0,,,0.0,0.0
1833825739078712.0,1833825739078712.0,0.0,0.0,,1833825739078712.0,0.0,0.0,,,0.0,0.0
727868537863562.8,727868537863562.8,0.0,0.0,,727868537863562.8,0.0,0.0,,,0.0,0.0
760709008869530.2,760709008869530.2,0.0,0.0,,760709008869530.2,0.0,0.0,,,0.0,0.0
677942368162221.5,677942368162221.5,0.0,0.0,,677942368162221.5,0.0,0.0,,,0.0,0.0
1128642524981317.5,1128642524981317.5,0.0,0.0,,1128642524981317.5,0.0,0.0,,,0.0,0.0
651815360853837.5,651815360853837.5,0.0,0.0,,651815360853837.5,0.0,0.0,,,0.0,0.0
979172845516573.0,979172845516573.0,0.0,0.0,,979172845516573.0,0.0,0.0,,,0.0,0.0
671017714753039.9,671017714753039.9,0.0,0.0,,671017714753039.9,0.0,0.0,,,0.0,0.0
917725213912295.4,917725213912295.4,0.0,0.0,,917725213912295.4,0.0,0.0,,,0.0,0.0
875782867800106.2,875782867800106.2,0.0,0.0,,875782867800106.2,0.0,0.0,,,0.0,0.0
783731165604490.4,783731165604490.4,0.0,0.0,,783731165604490.4,0.0,0.0,,,0.0,0.0
1071921756271929.0,1071921756271929.0,0.0,0.0,,1071921756271929.0,0.0,0.0,,,0.0,0.0
817029553002257.0,817029553002257.0,0.0,0.0,,817029553002257.0,0.0,0.0,,,0.0,0.0
929242264671290.8,929242264671290.8,0.0,0.0,,929242264671290.8,0.0,0.0,,,0.0,0.0
945332333484809.4,945332333484809.4,0.0,0.0,,945332333484809.4,0.0,0.0,,,0.0,0.0
689413572762280.6,689413572762280.6,0.0,0.0,,689413572762280.6,0.0,0.0,,,0.0,0.0
716924687999810.9,716924687999810.9,0.0,0.0,,716924687999810.9,0.0,0.0,,,0.0,0.0
1083357423903385.6,1083357423903385.6,0.0,0.0,,1083357423903385.6,0.0,0.0,,,0.0,0.0
778434273872921.6,778434273872921.6,0.0,0.0,,778434273872921.6,0.0,0.0,,,0.0,0.0
2067459351048319.2,2067459351048319.2,0.0,0.0,,2067459351048319.2,0.0,0.0,,,0.0,0.0
1527666180096000.0,1527666180096000.0,0.0,0.0,,1527666180096000.0,0.0,0.0,,,0.0,0.0
1228670616253825.5,1228670616253825.5,0.0,0.0,,1228670616253825.5,0.0,0.0,,,0.0,0.0
838651444134759.1,838651444134759.1,0.0,0.0,,838651444134759.1,0.0,0.0,,,0.0,0.0
844525898342097.4,844525898342097.4,0.0,0.0,,844525898342097.4,0.0,0.0,,,0.0,0.0
899605622378635.1,899605622378635.1,0.0,0.0,,899605622378635.1,0.0,0.0,,,0.0,0.0
969915787357778.4,969915787357778.4,0.0,0.0,,969915787357778.4,0.0,0.0,,,0.0,0.0
1101821282918097.4,1101821282918097.4,0.0,0.0,,1101821282918097.4,0.0,0.0,,,0.0,0.0
955861188874209.6,955861188874209.6,0.0,0.0,,955861188874209.6,0.0,0.0,,,0.0,0.0
700491888171107.8,700491888171107.8,0.0,0.0,,700491888171107.8,0.0,0.0,,,0.0,0.0
708290988912307.2,708290988912307.2,0.0,0.0,,708290988912307.2,0.0,0.0,,,0.0,0.0
970908443434729.6,970908443434729.6,0.0,0.0,,970908443434729.6,0.0,0.0,,,0.0,0.0
1168341234420277.5,1168341234420277.5,0.0,0.0,,1168341234420277.5,0.0,0.0,,,0.0,0.0
1461546502733896.5,1461546502733896.5,0.0,0.0,,1461546502733896.5,0.0,0.0,,,0.0,0.0
1196964503128484.5,1196964503128484.5,0.0,0.0,,1196964503128484.5,0.0,0.0,,,0.0,0.0
1140961610922918.8,1140961610922918.8,0.0,0.0,,1140961610922918.8,0.0,0.0,,,0.0,0.0
709109330458469.6,709109330458469.6,0.0,0.0,,709109330458469.6,0.0,0.0,,,0.0,0.0
928508131367326.4,928508131367326.4,0.0,0.0,,928508131367326.4,0.0,0.0,,,0.0,0.0
722403229647598.1,722403229647598.1,0.0,0.0,,722403229647598.1,0.0,0.0,,,0.0,0.0
