log[Age(Myr)] d127_AMR
2.6989700043360187 0.00497769
2.7484376745664973 0.00587954
2.7979056993527007 0.00994306
2.8473739733267314 0.0115
2.8968413524209744 0.0117658
2.9463092780221425 0.018987
2.9957773040840703 0.00383638
3.045244720478147 0.00260643
3.0947121423588384 0.0153748
3.1441817643668375 0.0061226
3.1936476637667615 0.0114509
3.243117455274604 0.00370656
3.292583884255552 0.00508371
3.3420533735347466 0.00667117
3.3915208329544204 0.00516736
3.440987751476157 0.0042938
3.490455735894072 0.00527383
3.539923776965465 0.00463517
3.5893921410106087 0.00833099
3.6388594973752038 0.00470578
3.688328147713719 0.00392698
3.7377959405311976 0.00502678
3.7872634741087965 0.00389398
3.836731629478519 0.0223856
3.8861995939089495 0.0331875
3.9356674516452066 0.0331917
3.985135349823362 0.0331916
4.034604395322679 0.0331904
4.084071989200302 0.0331894
4.133538908370218 0.0331845
