"v (km/s)" BF[g(v)]
-1003.98 0.00456864
-979.531 0.00010027
-955.082 1.43848e-07
-930.63 4.54661e-09
-906.177 6.99539e-08
-881.722 2.8296e-08
-857.265 2.09058e-09
-832.805 2.40984e-09
-808.344 1.95802e-07
-783.881 2.81648e-05
-759.416 0.00040543
-734.949 0.00119613
-710.479 0.00103909
-686.008 0.000391076
-661.535 0.000213283
-637.06 0.000601371
-612.582 0.000696904
-588.103 0.00110843
-563.622 0.00121826
-539.139 0.000577221
-514.653 0.000115953
-490.166 1.97935e-05
-465.677 1.1235e-05
-441.186 5.85411e-05
-416.692 0.00102846
-392.197 0.0063068
-367.7 0.0127647
-343.2 0.0163938
-318.699 0.0161999
-294.196 0.0160351
-269.691 0.0205596
-245.183 0.0284788
-220.674 0.0368925
-196.163 0.0452453
-171.649 0.0525923
-147.134 0.0578428
-122.617 0.0599198
-98.0974 0.0597299
-73.5761 0.0600136
-49.0527 0.061733
-24.5274 0.0629479
-2.66269e-10 0.0612703
24.5294 0.0563004
49.0607 0.0495636
73.5941 0.0427393
98.1295 0.0364688
122.667 0.0304731
147.206 0.0243889
171.748 0.0185925
196.291 0.0137613
220.837 0.0102594
245.384 0.0073568
269.933 0.00428547
294.485 0.00184418
319.038 0.000693393
343.594 0.000330691
368.151 0.000304257
392.711 0.000582608
417.272 0.00142772
441.836 0.00243588
466.401 0.00203505
490.969 0.000593704
515.538 3.07462e-05
540.11 2.56504e-08
564.683 8.26781e-12
589.259 3.63536e-05
613.837 0.00357288
638.416 0.000475296
662.998 0.000116755
687.581 0.000132088
712.167 2.46057e-05
736.755 2.82711e-07
761.344 2.64306e-09
785.936 8.0608e-07
810.53 1.73633e-08
835.125 4.89058e-05
859.723 0.00114271
884.323 0.00133759
908.924 6.78687e-05
933.528 5.02816e-06
958.134 0.000141996
982.742 0.000121088
1007.35 4.60443e-06
