log[Age(Myr)] n4872_SAD
2.6989700043360187 8.37122e-06
2.7484376745664973 5.80857e-06
2.7979056993527007 9.17301e-07
2.8473739733267314 5.55514e-07
2.8968413524209744 5.28479e-07
2.9463092780221425 2.29918e-06
2.9957773040840703 6.01657e-08
3.045244720478147 5.45126e-07
3.0947121423588384 2.11389e-06
3.1441817643668375 3.68345e-06
3.1936476637667615 3.40682e-06
3.243117455274604 1.10627e-05
3.292583884255552 9.74304e-05
3.3420533735347466 0.00252995
3.3915208329544204 0.000696331
3.440987751476157 0.00534261
3.490455735894072 0.00384875
3.539923776965465 0.0233827
3.5893921410106087 0.0235122
3.6388594973752038 0.0284331
3.688328147713719 0.0245908
3.7377959405311976 0.0425568
3.7872634741087965 0.0568548
3.836731629478519 0.0352021
3.8861995939089495 0.0417066
3.9356674516452066 0.0592995
3.985135349823362 0.0914985
4.034604395322679 0.146533
4.084071989200302 0.188039
4.133538908370218 0.225849
