"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4093.11 0.637417 0.643898 6.78877 0.830308
4093.45 0.632705 0.639113 6.84079 0.830298
4093.78 0.626999 0.634032 6.89341 0.830298
4094.12 0.620327 0.62873 6.95037 0.830307
4094.45 0.61309 0.623295 7.0152 0.830326
4094.79 0.606246 0.617803 7.08095 0.830354
4095.12 0.600723 0.6123 7.14133 0.830391
4095.46 0.596544 0.606793 7.19918 0.830437
4095.79 0.593131 0.601253 7.25774 0.830492
4096.13 0.589873 0.59563 7.30914 0.830556
4096.46 0.586059 0.589887 7.36087 0.830629
4096.8 0.580959 0.584013 7.4159 0.83071
4097.13 0.57464 0.578029 7.47843 0.8308
4097.47 0.568574 0.571993 7.54176 0.830898
4097.8 0.564256 0.565984 7.59208 0.831004
4098.14 0.561391 0.560089 7.63371 0.831119
4098.47 0.558312 0.554384 7.67568 0.831241
4098.81 0.553675 0.54894 7.73675 0.831371
4099.14 0.547954 0.543821 7.80025 0.831509
4099.48 0.542205 0.539097 7.86273 0.831654
4099.81 0.53723 0.534843 7.91992 0.831807
4100.15 0.533318 0.531145 7.97775 0.831967
4100.48 0.53068 0.528082 8.01853 0.832134
4100.82 0.529222 0.525719 8.04516 0.832308
4101.16 0.528581 0.524086 8.07192 0.832489
4101.49 0.528404 0.523187 8.08605 0.832677
4101.83 0.528427 0.523016 8.0983 0.832871
4102.16 0.528424 0.52356 8.10776 0.833072
4102.5 0.528396 0.524831 8.10495 0.83328
4102.83 0.528873 0.526863 8.10214 0.833494
4103.17 0.53045 0.5297 8.08146 0.833714
4103.51 0.533488 0.533362 8.04351 0.83394
4103.84 0.538116 0.53782 8.00581 0.834171
4104.18 0.544319 0.542976 7.93498 0.834409
4104.51 0.55116 0.54866 7.85811 0.834652
4104.85 0.557317 0.554653 7.78601 0.834901
4105.18 0.562156 0.56074 7.73629 0.835155
4105.52 0.566831 0.566744 7.68705 0.835415
4105.86 0.572731 0.572539 7.63271 0.835679
4106.19 0.579702 0.57804 7.57263 0.835949
4106.53 0.585903 0.583182 7.51325 0.836224
4106.86 0.589693 0.587909 7.49169 0.836503
4107.2 0.59168 0.592144 7.48031 0.836787
4107.54 0.593513 0.595805 7.466 0.837075
4107.87 0.596304 0.598844 7.42759 0.837368
4108.21 0.59958 0.60127 7.38946 0.837665
4108.54 0.602592 0.603146 7.35697 0.837966
4108.88 0.604877 0.604577 7.33172 0.838271
4109.22 0.606313 0.605701 7.30659 0.83858
4109.55 0.606878 0.60665 7.2923 0.838893
4109.89 0.607249 0.607516 7.28156 0.839209
4110.23 0.608459 0.608355 7.26939 0.839529
4110.56 0.61126 0.609206 7.23989 0.839852
4110.9 0.61551 0.610103 7.21056 0.840179
4111.23 0.620881 0.611086 7.17206 0.840508
4111.57 0.626781 0.612203 7.12 0.840841
4111.91 0.632276 0.613509 7.06851 0.841176
4112.24 0.63643 0.61504 7.04234 0.841514
4112.58 0.638526 0.616797 7.02567 0.841855
4112.92 0.637963 0.61875 7.01144 0.842198
4113.25 0.634654 0.620843 7.04206 0.842544
4113.59 0.630272 0.623014 7.07289 0.842891
4113.93 0.62685 0.625192 7.09236 0.843241
4114.26 0.625563 0.627314 7.09271 0.843593
4114.6 0.626398 0.629328 7.09306 0.843947
4114.94 0.629176 0.631188 7.08062 0.844302
4115.27 0.632894 0.632839 7.06281 0.844659
4115.61 0.636066 0.634219 7.04581 0.845018
4115.95 0.63753 0.635266 7.05301 0.845377
4116.28 0.637338 0.635927 7.06023 0.845738
4116.62 0.635829 0.63617 7.07397 0.8461
4116.96 0.633623 0.636012 7.09955 0.846463
4117.29 0.631757 0.635521 7.12526 0.846827
4117.63 0.631196 0.634792 7.13641 0.847192
4117.97 0.631776 0.633927 7.14083 0.847557
4118.3 0.632637 0.632998 7.14521 0.847922
4118.64 0.633047 0.63204 7.14689 0.848288
4118.98 0.632807 0.631047 7.14858 0.848654
4119.32 0.63185 0.630013 7.15478 0.84902
4119.65 0.630361 0.628962 7.16966 0.849386
4119.99 0.628909 0.627961 7.18459 0.849752
4120.33 0.628049 0.627108 7.18671 0.850117
4120.66 0.627827 0.626511 7.18259 0.850482
4121.0 0.627968 0.626242 7.17851 0.850847
4121.34 0.628196 0.626323 7.18412 0.851211
4121.68 0.628261 0.626725 7.18974 0.851574
4122.01 0.627921 0.627388 7.19909 0.851936
4122.35 0.627047 0.628245 7.2159 0.852296
4122.69 0.625684 0.629243 7.23278 0.852656
4123.02 0.623907 0.630336 7.254 0.853015
4123.36 0.621996 0.631467 7.27747 0.853371
4123.7 0.620363 0.632562 7.30105 0.853727
4124.04 0.619381 0.633541 7.31283 0.85408
4124.37 0.61926 0.63433 7.32462 0.854432
4124.71 0.620166 0.63488 7.32575 0.854782
4125.05 0.621959 0.635177 7.30534 0.85513
