"v (km/s)" BF[g(v)]
-1003.98 0.00504831
-979.531 0.000295178
-955.082 1.52469e-05
-930.63 1.67967e-05
-906.177 0.00014104
-881.722 0.000720912
-857.265 0.00191488
-832.805 0.00268397
-808.344 0.00208188
-783.881 0.000976796
-759.416 0.000328713
-734.949 0.000109437
-710.479 6.61781e-05
-686.008 0.00011416
-661.535 0.000330235
-637.06 0.000864962
-612.582 0.002202
-588.103 0.00362739
-563.622 0.00438199
-539.139 0.00449013
-514.653 0.00450677
-490.166 0.00490113
-465.677 0.00593283
-441.186 0.00768784
-416.692 0.0099729
-392.197 0.0123378
-367.7 0.0143872
-343.2 0.0161682
-318.699 0.0182866
-294.196 0.0215699
-269.691 0.0264126
-245.183 0.0321516
-220.674 0.0372561
-196.163 0.0406009
-171.649 0.0423794
-147.134 0.0436381
-122.617 0.0452609
-98.0974 0.0473187
-73.5761 0.0491027
-49.0527 0.0498007
-24.5274 0.049221
-2.66269e-10 0.0478044
24.5294 0.0459164
49.0607 0.0433196
73.5941 0.0395473
98.1295 0.0347387
122.667 0.0298669
147.206 0.0259498
171.748 0.0229569
196.291 0.019946
220.837 0.0163782
245.384 0.0127271
269.933 0.00977642
294.485 0.00780926
319.038 0.00654955
343.594 0.00550234
368.151 0.00429806
392.711 0.00292863
417.272 0.00170325
441.836 0.000885834
466.401 0.000474032
490.969 0.000325219
515.538 0.000334276
540.11 0.000487833
564.683 0.000845385
589.259 0.00152726
613.837 0.00265098
638.416 0.00115326
662.998 0.000502712
687.581 0.000288119
712.167 0.00027966
736.755 0.000447731
761.344 0.000791043
785.936 0.000853389
810.53 0.00036557
835.125 4.87078e-05
859.723 3.58737e-07
884.323 1.1014e-06
908.924 4.72186e-08
933.528 1.11317e-05
958.134 9.12894e-05
982.742 0.000248813
1007.35 0.000373536
