log[Age(Myr)] n4873_MASS
2.6989700043360187 0.474757
2.7484376745664973 0.466946
2.7979056993527007 0.422101
2.8473739733267314 0.421419
2.8968413524209744 0.41984
2.9463092780221425 3.66733e-05
2.9957773040840703 0.0138689
3.045244720478147 0.115123
3.0947121423588384 0.193817
3.1441817643668375 0.542602
3.1936476637667615 0.535609
3.243117455274604 0.791699
3.292583884255552 0.611914
3.3420533735347466 0.154206
3.3915208329544204 0.0402702
3.440987751476157 7.05349
3.490455735894072 21.9956
3.539923776965465 40.7171
3.5893921410106087 30.0838
3.6388594973752038 149.176
3.688328147713719 261.058
3.7377959405311976 394.457
3.7872634741087965 146.281
3.836731629478519 626.332
3.8861995939089495 499.768
3.9356674516452066 830.737
3.985135349823362 3947.69
4.034604395322679 3824.57
4.084071989200302 7621.88
4.133538908370218 10719.3
