log[Age(Myr)] d158_SAD
2.6989700043360187 1.68551e-06
2.7484376745664973 3.2966e-07
2.7979056993527007 1.70907e-09
2.8473739733267314 1.0834e-09
2.8968413524209744 2.16887e-09
2.9463092780221425 2.39807e-07
2.9957773040840703 1.12986e-05
3.045244720478147 2.17544e-05
3.0947121423588384 0.000102195
3.1441817643668375 0.00116804
3.1936476637667615 0.00380522
3.243117455274604 0.0106535
3.292583884255552 0.0215084
3.3420533735347466 0.0363485
3.3915208329544204 0.0290613
3.440987751476157 0.0203356
3.490455735894072 0.0171689
3.539923776965465 0.0163675
3.5893921410106087 0.0207266
3.6388594973752038 0.0277186
3.688328147713719 0.0357929
3.7377959405311976 0.0419056
3.7872634741087965 0.0559876
3.836731629478519 0.0467277
3.8861995939089495 0.0560269
3.9356674516452066 0.0677463
3.985135349823362 0.0713745
4.034604395322679 0.0675604
4.084071989200302 0.151123
4.133538908370218 0.200757
