log[Age(Myr)] n4873_SAD
2.6989700043360187 0.000413102
2.7484376745664973 0.000368195
2.7979056993527007 0.000295123
2.8473739733267314 0.000261985
2.8968413524209744 0.000234874
2.9463092780221425 1.37505e-08
2.9957773040840703 4.57086e-06
3.045244720478147 3.81744e-05
3.0947121423588384 5.5815e-05
3.1441817643668375 0.000151387
3.1936476637667615 0.000134593
3.243117455274604 0.000159476
3.292583884255552 0.000119843
3.3420533735347466 3.09977e-05
3.3915208329544204 6.19696e-06
3.440987751476157 0.00151285
3.490455735894072 0.00440806
3.539923776965465 0.00719598
3.5893921410106087 0.00372564
3.6388594973752038 0.0188843
3.688328147713719 0.0279623
3.7377959405311976 0.0383102
3.7872634741087965 0.00944292
3.836731629478519 0.0528216
3.8861995939089495 0.0190081
3.9356674516452066 0.0286368
3.985135349823362 0.23016
4.034604395322679 0.108737
4.084071989200302 0.196456
4.133538908370218 0.250384
