log[Age(Myr)] gmp3565_AMR
2.6989700043360187 0.00603817
2.7484376745664973 0.00673868
2.7979056993527007 0.00864541
2.8473739733267314 0.0116995
2.8968413524209744 0.0108855
2.9463092780221425 0.0140488
2.9957773040840703 0.0148864
3.045244720478147 0.015556
3.0947121423588384 0.0102592
3.1441817643668375 0.0107707
3.1936476637667615 0.0103305
3.243117455274604 0.0156415
3.292583884255552 0.0207808
3.3420533735347466 0.0205094
3.3915208329544204 0.0331917
3.440987751476157 0.0331587
3.490455735894072 0.0223138
3.539923776965465 0.0173269
3.5893921410106087 0.0168818
3.6388594973752038 0.0186296
3.688328147713719 0.00453008
3.7377959405311976 0.00275585
3.7872634741087965 0.00097956
3.836731629478519 0.00746617
3.8861995939089495 0.0097343
3.9356674516452066 0.00168586
3.985135349823362 0.0123343
4.034604395322679 0.02
4.084071989200302 0.0143452
4.133538908370218 0.00880559
