"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.662954 0.300233 0.0 0.823488
4051.46 0.660572 0.356198 0.0 0.823936
4051.79 0.655473 0.407104 0.0 0.824383
4052.13 0.648181 0.450811 0.0 0.82483
4052.46 0.64252 0.487981 0.0 0.825277
4052.79 0.642357 0.520413 0.0 0.825725
4053.12 0.646514 0.548812 0.0 0.826172
4053.45 0.649605 0.572479 0.0 0.826618
4053.78 0.64704 0.589895 0.0 0.827065
4054.12 0.639948 0.600369 0.0 0.827512
4054.45 0.631645 0.604882 0.0 0.827958
4054.78 0.624451 0.605397 0.0 0.828404
4055.11 0.61806 0.603716 0.0 0.82885
4055.44 0.611753 0.60118 0.0 0.829296
4055.77 0.605274 0.598449 0.0 0.829742
4056.11 0.598914 0.595757 0.0 0.830187
4056.44 0.593017 0.593156 0.0 0.830632
4056.77 0.588101 0.590627 0.0 0.831076
4057.1 0.584784 0.588232 0.0 0.83152
4057.43 0.583577 0.586237 0.0 0.831964
4057.77 0.58458 0.585049 0.0 0.832408
4058.1 0.587783 0.58502 0.0 0.832851
4058.43 0.592843 0.586328 0.0 0.833293
4058.76 0.598834 0.588947 0.0 0.833736
4059.09 0.604769 0.592647 0.0 0.834177
4059.43 0.609541 0.597052 0.713484 0.834619
4059.76 0.611954 0.601588 0.709587 0.835059
4060.09 0.611269 0.605642 0.708244 0.8355
4060.42 0.609456 0.608584 0.707267 0.835939
4060.76 0.609464 0.609833 0.706847 0.836379
4061.09 0.612293 0.608909 0.709233 0.836817
4061.42 0.614158 0.605539 0.711632 0.837255
4061.75 0.610671 0.599808 0.71509 0.837692
4062.08 0.600887 0.592194 0.719829 0.838129
4062.42 0.587715 0.583459 0.724615 0.838565
4062.75 0.574186 0.574502 0.729696 0.839
4063.08 0.562587 0.566235 0.734915 0.839435
4063.41 0.554823 0.559448 0.739991 0.839869
4063.75 0.552189 0.554735 0.740506 0.840302
4064.08 0.553825 0.552443 0.741022 0.840735
4064.41 0.558399 0.552658 0.74012 0.841166
4064.74 0.564599 0.554526 0.73642 0.841597
4065.08 0.57115 0.558154 0.732748 0.842027
4065.41 0.576855 0.563096 0.728369 0.842456
4065.74 0.581532 0.568967 0.723601 0.842884
4066.07 0.585724 0.575508 0.718879 0.843312
4066.41 0.589936 0.582575 0.714948 0.843738
4066.74 0.594387 0.590092 0.71111 0.844164
4067.07 0.599206 0.597967 0.707594 0.844589
4067.41 0.604075 0.606028 0.705138 0.845012
4067.74 0.607724 0.613991 0.702696 0.845435
4068.07 0.608875 0.621469 0.700882 0.845857
4068.4 0.608662 0.628018 0.699656 0.846277
4068.74 0.610553 0.633201 0.698434 0.846697
4069.07 0.617442 0.636647 0.695376 0.847115
4069.4 0.627411 0.638113 0.691911 0.847533
4069.74 0.636444 0.63753 0.688462 0.847949
4070.07 0.641356 0.635036 0.684961 0.848364
4070.4 0.641408 0.630985 0.681487 0.848778
4070.73 0.63634 0.625941 0.681239 0.849191
4071.07 0.627282 0.620612 0.685753 0.849603
4071.4 0.617151 0.615755 0.690312 0.850014
4071.73 0.608824 0.612048 0.694239 0.850423
4072.07 0.603576 0.609965 0.697909 0.850831
4072.4 0.60174 0.609696 0.701606 0.851238
4072.73 0.603294 0.611114 0.699859 0.851643
4073.07 0.606844 0.613818 0.698118 0.852047
4073.4 0.610663 0.617225 0.696047 0.85245
4073.73 0.61372 0.620675 0.693205 0.852852
4074.07 0.616168 0.623526 0.69038 0.853252
4074.4 0.618266 0.625228 0.688315 0.853651
4074.73 0.620136 0.625373 0.686754 0.854048
