"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4093.11 0.650963 0.661046 4.3386 0.839989
4093.45 0.64863 0.65621 4.36017 0.840063
4093.78 0.64506 0.651113 4.38191 0.840143
4094.12 0.640631 0.645729 4.4084 0.840231
4094.45 0.635596 0.640054 4.44394 0.840326
4094.79 0.630018 0.634123 4.47992 0.840428
4095.12 0.623954 0.628013 4.51848 0.840537
4095.46 0.617521 0.621818 4.55868 0.840653
4095.79 0.610877 0.61562 4.59942 0.840776
4096.13 0.604211 0.609472 4.63527 0.840905
4096.46 0.597834 0.603382 4.67139 0.841041
4096.8 0.59209 0.59732 4.70623 0.841184
4097.13 0.587133 0.591243 4.73718 0.841333
4097.47 0.582776 0.585118 4.76845 0.841489
4097.8 0.578783 0.578936 4.80255 0.84165
4098.14 0.574673 0.5727 4.83872 0.841818
4098.47 0.569777 0.566433 4.8753 0.841992
4098.81 0.563569 0.560164 4.92763 0.842172
4099.14 0.556279 0.553935 4.98221 0.842358
4099.48 0.548379 0.547801 5.03697 0.842549
4099.81 0.540615 0.541853 5.09018 0.842746
4100.15 0.534285 0.536221 5.14425 0.842949
4100.48 0.530675 0.531085 5.17785 0.843157
4100.82 0.529668 0.526662 5.19434 0.84337
4101.16 0.529912 0.523186 5.2109 0.843589
4101.49 0.530198 0.52088 5.22128 0.843813
4101.83 0.530393 0.519922 5.23074 0.844042
4102.16 0.530762 0.520422 5.23701 0.844276
4102.5 0.531585 0.522418 5.22935 0.844515
4102.83 0.533171 0.525881 5.2217 0.844758
4103.17 0.535828 0.530727 5.20178 0.845006
4103.51 0.53973 0.536826 5.17009 0.845259
4103.84 0.544916 0.544004 5.13867 0.845516
4104.18 0.551376 0.552045 5.09166 0.845778
4104.51 0.558801 0.560699 5.04197 0.846044
4104.85 0.566755 0.569686 4.99236 0.846314
4105.18 0.574779 0.578714 4.93969 0.846588
4105.52 0.58236 0.587498 4.88785 0.846866
4105.86 0.589 0.595778 4.84108 0.847148
4106.19 0.594867 0.60333 4.7998 0.847434
4106.53 0.600863 0.609969 4.75905 0.847723
4106.86 0.607773 0.61557 4.71428 0.848016
4107.2 0.615201 0.620059 4.66891 0.848313
4107.54 0.622201 0.623422 4.62575 0.848613
4107.87 0.628018 0.6257 4.59588 0.848916
4108.21 0.632458 0.626991 4.5663 0.849223
4108.54 0.635428 0.627435 4.54882 0.849532
4108.88 0.636921 0.627208 4.54704 0.849845
4109.22 0.637026 0.626513 4.54526 0.85016
4109.55 0.63587 0.625567 4.5563 0.850478
4109.89 0.633844 0.624583 4.57161 0.850799
4110.23 0.631474 0.623757 4.5867 0.851123
4110.56 0.629282 0.623253 4.59842 0.851449
4110.9 0.627771 0.623193 4.61019 0.851777
4111.23 0.627438 0.623649 4.61449 0.852108
4111.57 0.628524 0.624658 4.60759 0.852441
4111.91 0.630948 0.626228 4.6007 0.852776
4112.24 0.634574 0.628351 4.58249 0.853113
4112.58 0.638977 0.630999 4.56013 0.853452
4112.92 0.643571 0.634122 4.53828 0.853793
4113.25 0.647798 0.637631 4.52311 0.854136
4113.59 0.651187 0.641394 4.50802 0.85448
4113.93 0.653302 0.645241 4.50118 0.854826
4114.26 0.654314 0.64898 4.50791 0.855173
4114.6 0.655232 0.652429 4.51466 0.855521
4114.94 0.65699 0.655432 4.51011 0.855871
4115.27 0.659101 0.657859 4.50079 0.856222
4115.61 0.660247 0.659613 4.4921 0.856574
4115.95 0.659524 0.660622 4.50302 0.856927
4116.28 0.657594 0.660853 4.51399 0.85728
4116.62 0.655468 0.660313 4.52652 0.857635
4116.96 0.653741 0.659061 4.54185 0.85799
4117.29 0.652407 0.657206 4.55726 0.858345
4117.63 0.651377 0.654894 4.57163 0.858702
4117.97 0.650212 0.652283 4.58555 0.859058
4118.3 0.648258 0.649531 4.59953 0.859415
4118.64 0.645137 0.646787 4.61287 0.859771
4118.98 0.641555 0.644191 4.62628 0.860128
4119.32 0.63847 0.641876 4.63623 0.860485
4119.65 0.636652 0.63995 4.63949 0.860842
4119.99 0.636574 0.638487 4.64274 0.861198
4120.33 0.638588 0.637525 4.63294 0.861554
4120.66 0.641895 0.637067 4.61686 0.86191
4121.0 0.644969 0.637094 4.6009 0.862265
4121.34 0.646525 0.637578 4.59883 0.862619
4121.68 0.646267 0.638497 4.59676 0.862973
4122.01 0.644162 0.639828 4.59738 0.863326
4122.35 0.640964 0.641528 4.60338 0.863678
4122.69 0.638645 0.643526 4.60939 0.864029
4123.02 0.639115 0.645721 4.59934 0.864379
4123.36 0.642291 0.64799 4.58132 0.864727
4123.7 0.646804 0.65021 4.5634 0.865075
4124.04 0.651324 0.65227 4.55147 0.86542
4124.37 0.654772 0.654077 4.5396 0.865765
4124.71 0.656147 0.655547 4.53566 0.866108
4125.05 0.655219 0.656607 4.5477 0.866449
4125.39 0.652965 0.657197 4.55979 0.866788
4125.72 0.650416 0.657279 4.57877 0.867125
4126.06 0.647993 0.656831 4.60135 0.86746
4126.4 0.645718 0.655848 4.6241 0.867793
4126.74 0.643612 0.654343 4.6462 0.868124
4127.07 0.641705 0.652339 4.66846 0.868453
4127.41 0.640028 0.649861 4.68737 0.868779
4127.75 0.638474 0.64694 4.69935 0.869103
4128.09 0.636725 0.64363 4.71137 0.869424
4128.43 0.634461 0.639991 4.71976 0.869743
4128.76 0.631588 0.636065 4.72635 0.870058
4129.1 0.628155 0.631862 4.733 0.870371
4129.44 0.624272 0.627374 4.75636 0.870681
4129.78 0.620272 0.62261 4.7799 0.870988
4130.11 0.616544 0.617617 4.80382 0.871291
4130.45 0.613243 0.612502 4.82834 0.871591
4130.79 0.610173 0.607431 4.85305 0.871888
4131.13 0.607137 0.602597 4.87108 0.872182
4131.47 0.604285 0.598182 4.88592 0.872471
4131.8 0.60198 0.594336 4.90057 0.872758
4132.14 0.600617 0.591195 4.89743 0.87304
4132.48 0.600678 0.588901 4.8943 0.873318
4132.82 0.602655 0.5876 4.88295 0.873593
4133.16 0.60617 0.587427 4.85662 0.873863
4133.5 0.609565 0.588482 4.8305 0.874129
4133.83 0.611252 0.5908 4.82349 0.874391
4134.17 0.611511 0.594339 4.82498 0.874649
4134.51 0.61175 0.598997 4.82593 0.874902
4134.85 0.613185 0.604628 4.80942 0.875151
4135.19 0.616268 0.611055 4.79299 0.875395
4135.53 0.621271 0.618067 4.76672 0.875634
4135.86 0.628041 0.625425 4.72397 0.875868
4136.2 0.635837 0.632871 4.68178 0.876098
4136.54 0.643832 0.640148 4.64992 0.876322
4136.88 0.650847 0.647027 4.62233 0.876541
4137.22 0.655493 0.653326 4.59618 0.876755
4137.56 0.656939 0.6589 4.59232 0.876963
4137.89 0.656272 0.663609 4.58847 0.877167
4138.23 0.65499 0.667305 4.58621 0.877364
4138.57 0.65442 0.669821 4.58641 0.877557
4138.91 0.655664 0.670989 4.58661 0.877744
