"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4093.11 0.713839 0.734925 0.224938 0.873196
4093.45 0.707378 0.730923 0.226115 0.873484
4093.78 0.69941 0.726051 0.227302 0.873771
4094.12 0.691942 0.720308 0.228443 0.874056
4094.45 0.686149 0.713874 0.229488 0.874341
4094.79 0.681964 0.707012 0.230539 0.874625
4095.12 0.679256 0.699956 0.230508 0.874908
4095.46 0.678398 0.692839 0.229915 0.875189
4095.79 0.680097 0.685689 0.229324 0.87547
4096.13 0.684198 0.678496 0.230277 0.875749
4096.46 0.686769 0.671287 0.231282 0.876027
4096.8 0.682885 0.664154 0.232893 0.876304
4097.13 0.670401 0.657236 0.236039 0.87658
4097.47 0.652055 0.650631 0.23925 0.876855
4097.8 0.631101 0.64429 0.24267 0.877128
4098.14 0.611055 0.637966 0.246261 0.8774
4098.47 0.595636 0.631248 0.249932 0.877671
4098.81 0.587697 0.623674 0.252193 0.877941
4099.14 0.585608 0.614897 0.254351 0.878209
4099.48 0.586314 0.604839 0.256189 0.878476
4099.81 0.587325 0.593765 0.256905 0.878742
4100.15 0.587303 0.582258 0.257623 0.879006
4100.48 0.585086 0.571103 0.258303 0.879269
4100.82 0.580259 0.561115 0.25895 0.879531
4101.16 0.573053 0.552973 0.2596 0.879791
4101.49 0.564059 0.547135 0.26072 0.88005
4101.83 0.555855 0.543843 0.261918 0.880307
4102.16 0.551749 0.543179 0.262764 0.880563
4102.5 0.553464 0.545164 0.262047 0.880818
4102.83 0.559053 0.549811 0.261334 0.881071
4103.17 0.566137 0.557108 0.259451 0.881322
4103.51 0.574256 0.566944 0.256463 0.881573
4103.84 0.58485 0.579047 0.253526 0.881821
4104.18 0.599067 0.592922 0.250808 0.882068
4104.51 0.615551 0.607862 0.248169 0.882314
4104.85 0.631895 0.623039 0.24571 0.882557
4105.18 0.646078 0.637668 0.244097 0.8828
4105.52 0.657093 0.651119 0.242501 0.88304
4105.86 0.664167 0.662984 0.24095 0.883279
4106.19 0.668502 0.673102 0.239449 0.883517
4106.53 0.673458 0.681497 0.237961 0.883753
4106.86 0.682 0.688271 0.235891 0.883987
4107.2 0.693175 0.69352 0.23369 0.884219
4107.54 0.704203 0.697317 0.231572 0.88445
4107.87 0.712523 0.699721 0.229921 0.884679
4108.21 0.716231 0.700817 0.228286 0.884906
4108.54 0.713653 0.700773 0.227545 0.885132
4108.88 0.70665 0.699848 0.227968 0.885355
4109.22 0.70133 0.698358 0.228392 0.885577
4109.55 0.703098 0.696626 0.229149 0.885798
4109.89 0.709121 0.694953 0.230018 0.886016
4110.23 0.712359 0.693589 0.230955 0.886232
4110.56 0.70803 0.692741 0.232639 0.886447
4110.9 0.698653 0.692595 0.234343 0.88666
4111.23 0.688185 0.693323 0.235701 0.886871
4111.57 0.680012 0.695046 0.236523 0.88708
4111.91 0.676783 0.6978 0.23735 0.887287
4112.24 0.680751 0.701515 0.236854 0.887492
4112.58 0.690872 0.706017 0.235861 0.887695
4112.92 0.704284 0.711073 0.234821 0.887896
4113.25 0.718609 0.716448 0.232802 0.888095
4113.59 0.733204 0.721957 0.230808 0.888293
4113.93 0.747782 0.727481 0.229056 0.888488
4114.26 0.761315 0.732941 0.227682 0.888681
4114.6 0.771755 0.738225 0.22632 0.888872
4114.94 0.77716 0.743131 0.226168 0.889061
4115.27 0.777474 0.747346 0.226526 0.889248
4115.61 0.773748 0.750482 0.226907 0.889433
4115.95 0.767405 0.752154 0.228064 0.889615
4116.28 0.76119 0.752098 0.229229 0.889796
4116.62 0.758083 0.750259 0.230338 0.889975
4116.96 0.757601 0.746843 0.231334 0.890151
4117.29 0.754219 0.742293 0.232337 0.890325
4117.63 0.742763 0.737189 0.233479 0.890497
4117.97 0.726202 0.7321 0.234691 0.890666
4118.3 0.712512 0.727451 0.235894 0.890834
4118.64 0.708148 0.723471 0.235818 0.890999
4118.98 0.713439 0.720197 0.235742 0.891162
