log[Age(Myr)] n4874_SFR
2.6989700043360187 2.6721e-13
2.7484376745664973 4.90616e-13
2.7979056993527007 9.08305e-13
2.8473739733267314 1.15251e-12
2.8968413524209744 2.94298e-12
2.9463092780221425 2.95324e-13
2.9957773040840703 9.06888e-12
3.045244720478147 3.48691e-11
3.0947121423588384 7.35299e-11
3.1441817643668375 3.19636e-11
3.1936476637667615 1.17358e-10
3.243117455274604 8.60357e-11
3.292583884255552 8.38518e-11
3.3420533735347466 2.62676e-11
3.3915208329544204 4.54792e-13
3.440987751476157 4.11276e-11
3.490455735894072 6.75704e-09
3.539923776965465 7.93151e-09
3.5893921410106087 7.06332e-08
3.6388594973752038 8.39054e-08
3.688328147713719 1.37675e-07
3.7377959405311976 2.43779e-07
3.7872634741087965 4.66979e-07
3.836731629478519 7.02406e-07
3.8861995939089495 8.76454e-07
3.9356674516452066 5.84411e-07
3.985135349823362 1.43033e-06
4.034604395322679 3.95754e-06
4.084071989200302 7.54775e-06
4.133538908370218 9.46993e-06
