log[Age(Myr)] n4873_SFR
2.6989700043360187 8.33224e-09
2.7484376745664973 7.31289e-09
2.7979056993527007 5.89891e-09
2.8473739733267314 5.25535e-09
2.8968413524209744 4.672e-09
2.9463092780221425 3.64168e-13
2.9957773040840703 1.22893e-10
3.045244720478147 9.10284e-10
3.0947121423588384 1.36754e-09
3.1441817643668375 3.41634e-09
3.1936476637667615 3.00926e-09
3.243117455274604 3.96921e-09
3.292583884255552 2.73758e-09
3.3420533735347466 6.15614e-10
3.3915208329544204 1.43458e-10
3.440987751476157 2.24221e-08
3.490455735894072 6.23936e-08
3.539923776965465 1.03066e-07
3.5893921410106087 6.79519e-08
3.6388594973752038 3.00676e-07
3.688328147713719 4.69537e-07
3.7377959405311976 6.33088e-07
3.7872634741087965 2.095e-07
3.836731629478519 8.00449e-07
3.8861995939089495 5.69941e-07
3.9356674516452066 8.45389e-07
3.985135349823362 3.58483e-06
4.034604395322679 3.09913e-06
4.084071989200302 5.51127e-06
4.133538908370218 6.91655e-06
