log[Age(Myr)] d128_SFR
2.6989700043360187 2.64261e-07
2.7484376745664973 1.51561e-07
2.7979056993527007 2.81966e-08
2.8473739733267314 2.0976e-09
2.8968413524209744 5.75197e-11
2.9463092780221425 1.51707e-10
2.9957773040840703 5.13911e-09
3.045244720478147 4.18247e-08
3.0947121423588384 2.23991e-10
3.1441817643668375 5.86981e-10
3.1936476637667615 1.53072e-08
3.243117455274604 3.19763e-09
3.292583884255552 2.57861e-09
3.3420533735347466 1.56168e-10
3.3915208329544204 6.86182e-10
3.440987751476157 5.51286e-09
3.490455735894072 1.79813e-08
3.539923776965465 1.49187e-08
3.5893921410106087 1.27525e-08
3.6388594973752038 9.33714e-08
3.688328147713719 9.78876e-08
3.7377959405311976 2.33809e-07
3.7872634741087965 3.30946e-07
3.836731629478519 2.7381e-07
3.8861995939089495 2.7676e-07
3.9356674516452066 4.18961e-07
3.985135349823362 9.88739e-07
4.034604395322679 1.22654e-06
4.084071989200302 5.30593e-06
4.133538908370218 1.01256e-05
