log[Age(Myr)] n4867_SFR
2.6989700043360187 1.36704e-07
2.7484376745664973 1.33118e-07
2.7979056993527007 1.32423e-07
2.8473739733267314 1.03008e-07
2.8968413524209744 6.81213e-08
2.9463092780221425 3.90447e-08
2.9957773040840703 2.41819e-08
3.045244720478147 4.20487e-09
3.0947121423588384 1.64346e-08
3.1441817643668375 4.17244e-08
3.1936476637667615 1.95518e-07
3.243117455274604 8.45947e-08
3.292583884255552 1.17234e-07
3.3420533735347466 1.17202e-07
3.3915208329544204 1.31874e-07
3.440987751476157 2.6317e-07
3.490455735894072 1.96924e-07
3.539923776965465 2.32785e-07
3.5893921410106087 2.58571e-07
3.6388594973752038 3.62352e-07
3.688328147713719 3.92205e-07
3.7377959405311976 4.77903e-07
3.7872634741087965 4.92286e-07
3.836731629478519 6.01927e-07
3.8861995939089495 9.98985e-07
3.9356674516452066 1.44459e-06
3.985135349823362 2.14238e-06
4.034604395322679 3.61199e-06
4.084071989200302 5.28785e-06
4.133538908370218 7.1931e-06
