log[Age(Myr)] d128_MASS
2.6989700043360187 15.058
2.7484376745664973 9.67809
2.7979056993527007 2.01774
2.8473739733267314 0.168213
2.8968413524209744 0.00516917
2.9463092780221425 0.0152784
2.9957773040840703 0.580001
3.045244720478147 5.28982
3.0947121423588384 0.0317473
3.1441817643668375 0.0932327
3.1936476637667615 2.72463
3.243117455274604 0.637834
3.292583884255552 0.576413
3.3420533735347466 0.0391208
3.3915208329544204 0.192629
3.440987751476157 1.73432
3.490455735894072 6.33929
3.539923776965465 5.89411
3.5893921410106087 5.6461
3.6388594973752038 46.3273
3.688328147713719 54.4275
3.7377959405311976 145.686
3.7872634741087965 231.091
3.836731629478519 214.262
3.8861995939089495 242.698
3.9356674516452066 411.722
3.985135349823362 1088.88
4.034604395322679 1513.73
4.084071989200302 7338.3
4.133538908370218 15693.5
