log[Age(Myr)] d128_SAD
2.6989700043360187 0.0145296
2.7484376745664973 0.00839584
2.7979056993527007 0.00143517
2.8473739733267314 9.70724e-05
2.8968413524209744 2.58275e-06
2.9463092780221425 6.28332e-06
2.9957773040840703 0.000249618
3.045244720478147 0.00268368
3.0947121423588384 9.50942e-06
3.1441817643668375 2.68916e-05
3.1936476637667615 0.000899239
3.243117455274604 0.000112197
3.292583884255552 0.000107419
3.3420533735347466 6.42726e-06
3.3915208329544204 2.68267e-05
3.440987751476157 0.00023881
3.490455735894072 0.000681582
3.539923776965465 0.000662025
3.5893921410106087 0.000650037
3.6388594973752038 0.00378242
3.688328147713719 0.00414861
3.7377959405311976 0.0096647
3.7872634741087965 0.0137053
3.836731629478519 0.01092
3.8861995939089495 0.0125672
3.9356674516452066 0.0225787
3.985135349823362 0.0441322
4.034604395322679 0.0528661
4.084071989200302 0.189147
4.133538908370218 0.605642
