log[Age(Myr)] d154_AMR
2.6989700043360187 0.00439152
2.7484376745664973 0.00472595
2.7979056993527007 0.00626482
2.8473739733267314 0.00744876
2.8968413524209744 0.00672767
2.9463092780221425 0.00920297
2.9957773040840703 0.0137784
3.045244720478147 0.00986012
3.0947121423588384 0.00885646
3.1441817643668375 0.00584793
3.1936476637667615 0.00465698
3.243117455274604 0.00476812
3.292583884255552 0.00417535
3.3420533735347466 0.00708366
3.3915208329544204 0.00585071
3.440987751476157 0.00883508
3.490455735894072 0.00172935
3.539923776965465 0.00559173
3.5893921410106087 0.0063395
3.6388594973752038 0.00276119
3.688328147713719 0.00228031
3.7377959405311976 0.00301345
3.7872634741087965 0.00362197
3.836731629478519 0.0331914
3.8861995939089495 0.00396746
3.9356674516452066 0.00454447
3.985135349823362 0.0331799
4.034604395322679 0.0331883
4.084071989200302 0.0331917
4.133538908370218 0.0331917
