log[Age(Myr)] d127_SFR
2.6989700043360187 5.18234e-08
2.7484376745664973 4.08417e-08
2.7979056993527007 2.98697e-08
2.8473739733267314 2.38612e-08
2.8968413524209744 1.79327e-08
2.9463092780221425 1.37325e-08
2.9957773040840703 1.02801e-10
3.045244720478147 7.5127e-10
3.0947121423588384 1.71977e-09
3.1441817643668375 2.80613e-08
3.1936476637667615 3.35925e-08
3.243117455274604 8.49268e-08
3.292583884255552 1.09019e-07
3.3420533735347466 1.49099e-07
3.3915208329544204 2.05068e-07
3.440987751476157 2.68397e-07
3.490455735894072 3.0937e-07
3.539923776965465 4.11482e-07
3.5893921410106087 4.54018e-07
3.6388594973752038 6.33255e-07
3.688328147713719 6.15189e-07
3.7377959405311976 7.64076e-07
3.7872634741087965 7.57387e-07
3.836731629478519 1.20346e-06
3.8861995939089495 1.61399e-06
3.9356674516452066 2.05868e-06
3.985135349823362 2.62059e-06
4.034604395322679 3.30977e-06
4.084071989200302 3.97721e-06
4.133538908370218 5.32729e-06
