log[Age(Myr)] d158_SFR
2.6989700043360187 3.48874e-11
2.7484376745664973 6.77525e-12
2.7979056993527007 3.64817e-14
2.8473739733267314 2.40505e-14
2.8968413524209744 4.78471e-14
2.9463092780221425 5.73676e-12
2.9957773040840703 2.81034e-10
3.045244720478147 5.40359e-10
3.0947121423588384 2.02958e-09
3.1441817643668375 2.36067e-08
3.1936476637667615 8.93171e-08
3.243117455274604 2.39524e-07
3.292583884255552 4.59459e-07
3.3420533735347466 7.73952e-07
3.3915208329544204 6.14117e-07
3.440987751476157 4.31732e-07
3.490455735894072 4.98933e-07
3.539923776965465 4.40926e-07
3.5893921410106087 6.65421e-07
3.6388594973752038 6.7848e-07
3.688328147713719 6.94389e-07
3.7377959405311976 8.06572e-07
3.7872634741087965 1.07627e-06
3.836731629478519 7.37437e-07
3.8861995939089495 8.33052e-07
3.9356674516452066 8.01515e-07
3.985135349823362 1.12799e-06
4.034604395322679 8.46662e-07
4.084071989200302 3.59383e-06
4.133538908370218 4.66962e-06
