"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.605403 0.285905 0.0 0.927076
4051.46 0.608013 0.310222 0.0 0.926431
4051.79 0.609747 0.334899 0.0 0.925786
4052.13 0.610455 0.359568 0.0 0.925141
4052.46 0.610499 0.383527 0.0 0.924497
4052.79 0.610279 0.406165 0.0 0.923853
4053.12 0.609896 0.427316 0.0 0.923209
4053.45 0.609209 0.447184 0.0 0.922565
4053.78 0.608059 0.465812 0.0 0.921922
4054.12 0.60621 0.482915 0.0 0.921279
4054.45 0.603405 0.49821 0.0 0.920637
4054.78 0.599724 0.511612 0.0 0.919996
4055.11 0.596146 0.523148 0.0 0.919355
4055.44 0.593765 0.532872 0.0 0.918714
4055.77 0.59269 0.540879 0.0 0.918075
4056.11 0.591848 0.547392 0.0 0.917436
4056.44 0.590194 0.552771 0.0 0.916798
4056.77 0.587642 0.557336 0.0 0.916161
4057.1 0.584649 0.561179 0.0 0.915525
4057.43 0.581586 0.564153 0.0 0.91489
4057.77 0.578463 0.566058 0.0 0.914257
4058.1 0.575207 0.56687 0.0 0.913624
4058.43 0.572005 0.566821 0.0 0.912992
4058.76 0.569498 0.566274 0.0 0.912362
4059.09 0.568311 0.565572 0.0 0.911733
4059.43 0.56812 0.564994 22.6329 0.911106
4059.76 0.567845 0.56413 22.6477 0.91048
4060.09 0.566546 0.563103 22.7185 0.909855
4060.42 0.564252 0.561972 22.7977 0.909232
4060.76 0.56134 0.56072 22.8808 0.908611
4061.09 0.558313 0.559267 22.9822 0.907991
4061.42 0.555975 0.557514 23.0843 0.907373
4061.75 0.555139 0.555411 23.1445 0.906757
4062.08 0.555568 0.552995 23.1541 0.906143
4062.42 0.555849 0.550429 23.1637 0.90553
4062.75 0.55469 0.547948 23.2457 0.90492
4063.08 0.552432 0.545774 23.3526 0.904311
4063.41 0.550255 0.54412 23.4562 0.903705
4063.75 0.549082 0.543295 23.4688 0.903101
4064.08 0.548897 0.544186 23.4814 0.902499
4064.41 0.549476 0.550798 23.4742 0.901899
4064.74 0.550424 0.550955 23.4276 0.901302
4065.08 0.55109 0.551557 23.3811 0.900706
4065.41 0.550887 0.552564 23.3582 0.900114
4065.74 0.550411 0.553942 23.3493 0.899524
4066.07 0.551104 0.555645 23.3404 0.898936
4066.41 0.554038 0.557595 23.2377 0.898351
4066.74 0.558319 0.559698 23.1279 0.897768
4067.07 0.562442 0.561871 23.0268 0.897189
4067.41 0.565386 0.56406 22.9541 0.896612
4067.74 0.567169 0.566229 22.8818 0.896038
4068.07 0.567963 0.56836 22.8197 0.895466
4068.4 0.568366 0.570428 22.7672 0.894898
4068.74 0.56939 0.572399 22.7148 0.894333
4069.07 0.571868 0.574212 22.6193 0.893771
4069.4 0.575227 0.575791 22.5142 0.893211
4069.74 0.578279 0.577074 22.4161 0.892656
4070.07 0.580219 0.578037 22.3709 0.892103
4070.4 0.581366 0.578692 22.3258 0.891553
4070.73 0.582237 0.579069 22.2986 0.891007
4071.07 0.583031 0.579212 22.2974 0.890465
4071.4 0.583543 0.579163 22.2961 0.889925
4071.73 0.583555 0.578943 22.3202 0.88939
4072.07 0.583019 0.578553 22.3551 0.888858
4072.4 0.581984 0.578002 22.3901 0.888329
4072.73 0.580542 0.577308 22.4663 0.887804
4073.07 0.578938 0.576501 22.5429 0.887283
4073.4 0.577456 0.575622 22.6163 0.886766
4073.73 0.576251 0.574711 22.6818 0.886253
4074.07 0.575258 0.573797 22.7476 0.885743
4074.4 0.574392 0.572901 22.8052 0.885238
4074.73 0.573597 0.572043 22.8575 0.884736
4075.07 0.572838 0.571246 22.9099 0.884239
4075.4 0.572093 0.57056 22.9457 0.883746
4075.73 0.571408 0.570061 22.9799 0.883257
4076.07 0.570854 0.569841 23.0105 0.882772
4076.4 0.570487 0.570001 23.0268 0.882292
4076.73 0.570333 0.570642 23.0432 0.881816
4077.07 0.570418 0.571825 23.0544 0.881344
4077.4 0.570833 0.573543 23.0603 0.880877
4077.73 0.571735 0.575763 23.0663 0.880415
4078.07 0.573274 0.578419 23.0246 0.879957
4078.4 0.575517 0.581407 22.9717 0.879504
4078.74 0.5785 0.584619 22.9107 0.879055
4079.07 0.582158 0.587981 22.7825 0.878612
4079.4 0.586139 0.59145 22.6554 0.878173
4079.74 0.590049 0.594984 22.5284 0.877739
4080.07 0.593783 0.598573 22.4012 0.87731
4080.4 0.597601 0.602232 22.2751 0.876886
4080.74 0.601758 0.605981 22.117 0.876467
4081.07 0.606195 0.609812 21.9476 0.876054
4081.41 0.610677 0.613703 21.7809 0.875645
4081.74 0.614972 0.617607 21.6564 0.875242
4082.07 0.618862 0.621448 21.5329 0.874844
4082.41 0.622136 0.625134 21.4294 0.874451
4082.74 0.624779 0.628587 21.366 0.874064
4083.08 0.627083 0.631751 21.3029 0.873682
4083.41 0.629365 0.634612 21.2418 0.873306
4083.74 0.631892 0.637223 21.1819 0.872936
4084.08 0.634896 0.63966 21.1222 0.872571
4084.41 0.638515 0.64202 21.0252 0.872211
4084.75 0.642442 0.644407 20.9263 0.871858
4085.08 0.646232 0.646899 20.8361 0.87151
4085.42 0.649525 0.649503 20.7713 0.871169
4085.75 0.652124 0.652194 20.7067 0.870833
4086.08 0.653886 0.654941 20.6714 0.870503
4086.42 0.655277 0.657678 20.6596 0.870179
