log[Age(Myr)] d154_MASS
2.6989700043360187 0.158607
2.7484376745664973 0.167797
2.7979056993527007 0.17251
2.8473739733267314 0.204905
2.8968413524209744 0.493432
2.9463092780221425 0.627561
2.9957773040840703 0.837351
3.045244720478147 1.8214
3.0947121423588384 6.89752
3.1441817643668375 9.72252
3.1936476637667615 19.872
3.243117455274604 34.1432
3.292583884255552 46.7269
3.3420533735347466 88.4625
3.3915208329544204 105.066
3.440987751476157 135.198
3.490455735894072 132.952
3.539923776965465 195.896
3.5893921410106087 250.793
3.6388594973752038 293.374
3.688328147713719 328.085
3.7377959405311976 428.799
3.7872634741087965 567.608
3.836731629478519 1199.55
3.8861995939089495 744.15
3.9356674516452066 943.079
3.985135349823362 2721.99
4.034604395322679 3457.09
4.084071989200302 4829.7
4.133538908370218 7062.55
