"v (km/s)" BF[g(v)]
-1003.98 0.00970232
-979.531 0.00240212
-955.082 0.000744525
-930.63 0.000275535
-906.177 0.000134807
-881.722 0.00014161
-857.265 0.000293057
-832.805 0.000633203
-808.344 0.00110896
-783.881 0.00159937
-759.416 0.00201266
-734.949 0.00229492
-710.479 0.00246683
-686.008 0.00261641
-661.535 0.00284571
-637.06 0.00324645
-612.582 0.00310719
-588.103 0.00340643
-563.622 0.00423811
-539.139 0.0056097
-514.653 0.00734511
-490.166 0.00908181
-465.677 0.0105484
-441.186 0.0118222
-416.692 0.013242
-392.197 0.0151147
-367.7 0.0174773
-343.2 0.0201392
-318.699 0.0229079
-294.196 0.0257015
-269.691 0.0284733
-245.183 0.031043
-220.674 0.033119
-196.163 0.0346908
-171.649 0.0362364
-147.134 0.0379942
-122.617 0.0394716
-98.0974 0.0400768
-73.5761 0.0397035
-49.0527 0.0388131
-24.5274 0.0380824
-2.66269e-10 0.0378865
24.5294 0.037893
49.0607 0.0370787
73.5941 0.0346022
98.1295 0.0308251
122.667 0.0271606
147.206 0.0247637
171.748 0.0235258
196.291 0.0224004
220.837 0.0204288
245.384 0.0174634
269.933 0.0141245
294.485 0.0111547
319.038 0.0089089
343.594 0.00735222
368.151 0.00622979
392.711 0.00524376
417.272 0.00424714
441.836 0.00329527
466.401 0.00252856
490.969 0.0020402
515.538 0.00182449
540.11 0.00182165
564.683 0.00195386
589.259 0.00213169
613.837 0.00226852
638.416 0.000869288
662.998 0.000355472
687.581 0.000157153
712.167 9.63227e-05
736.755 0.000113656
761.344 0.000245258
785.936 0.000563816
810.53 0.000887987
835.125 0.00083789
859.723 0.000486515
884.323 0.000209848
908.924 9.83909e-05
933.528 7.84182e-05
958.134 0.000147067
982.742 0.00065506
1007.35 0.00508444
