log[Age(Myr)] n4867_AMR
2.6989700043360187 0.003748
2.7484376745664973 0.00390175
2.7979056993527007 0.00389303
2.8473739733267314 0.00389792
2.8968413524209744 0.00353358
2.9463092780221425 0.00388953
2.9957773040840703 0.0042918
3.045244720478147 0.00725767
3.0947121423588384 0.00389066
3.1441817643668375 0.00371231
3.1936476637667615 0.00390222
3.243117455274604 0.00350816
3.292583884255552 0.00390342
3.3420533735347466 0.00389148
3.3915208329544204 0.00389573
3.440987751476157 0.00393993
3.490455735894072 0.00389684
3.539923776965465 0.00435599
3.5893921410106087 0.00399593
3.6388594973752038 0.00426442
3.688328147713719 0.00390935
3.7377959405311976 0.00402454
3.7872634741087965 0.029413
3.836731629478519 0.00389969
3.8861995939089495 0.0331444
3.9356674516452066 0.0331918
3.985135349823362 0.0331917
4.034604395322679 0.0331918
4.084071989200302 0.0331881
4.133538908370218 0.0331915
