log[Age(Myr)] d157_SFR
3.0 2.57005e-10
3.059658066366697 3.10918e-15
3.1193185868428577 6.93687e-12
3.1789798234060425 1.72005e-12
3.2386406543078228 1.30276e-10
3.2983005818906266 2.18804e-12
3.357959608699205 6.54944e-13
3.417619477650155 9.57579e-14
3.4772790197225136 1.31976e-10
3.536939545465176 1.58284e-09
3.596599294580295 1.95556e-08
3.65625923500847 1.48971e-08
3.7159189820904373 1.20753e-07
3.775579139815487 3.24466e-07
3.8352389240683866 2.43677e-07
3.894898977548499 4.11352e-07
3.9545589465519466 1.81961e-06
4.014218023337068 4.5737e-06
4.073879577438335 3.51324e-06
4.133538908370218 6.99575e-06
