"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.592107 0.277411 0.0 0.88704
4051.46 0.593359 0.301777 0.0 0.886402
4051.79 0.594171 0.32747 0.0 0.885764
4052.13 0.594434 0.352665 0.0 0.885126
4052.46 0.594244 0.375456 0.0 0.884488
4052.79 0.593722 0.395305 0.0 0.883851
4053.12 0.593128 0.413358 0.0 0.883214
4053.45 0.592835 0.431401 0.0 0.882577
4053.78 0.593085 0.450295 0.0 0.881941
4054.12 0.593281 0.469248 0.0 0.881305
4054.45 0.592505 0.486638 0.0 0.88067
4054.78 0.590292 0.501445 0.0 0.880036
4055.11 0.587357 0.513816 0.0 0.879402
4055.44 0.58459 0.52447 0.0 0.878769
4055.77 0.582321 0.53389 0.0 0.878137
4056.11 0.580205 0.542061 0.0 0.877506
4056.44 0.577889 0.548767 0.0 0.876876
4056.77 0.575343 0.553965 0.0 0.876247
4057.1 0.57272 0.557891 0.0 0.875619
4057.43 0.570176 0.560885 0.0 0.874992
4057.77 0.567881 0.563201 0.0 0.874367
4058.1 0.566007 0.564936 0.0 0.873743
4058.43 0.564634 0.566104 0.0 0.87312
4058.76 0.563688 0.566715 0.0 0.872498
4059.09 0.563077 0.566778 0.0 0.871879
4059.43 0.562701 0.566287 13.9522 0.87126
4059.76 0.562451 0.565536 13.9411 0.870644
4060.09 0.562213 0.564387 13.9518 0.870029
4060.42 0.561851 0.562787 13.9657 0.869416
4060.76 0.561219 0.560817 13.9864 0.868805
4061.09 0.560177 0.558646 14.0414 0.868196
4061.42 0.558608 0.556468 14.0967 0.867588
4061.75 0.556412 0.554468 14.1557 0.866983
4062.08 0.554007 0.552784 14.219 0.86638
4062.42 0.552388 0.551474 14.2826 0.865779
4062.75 0.55243 0.55048 14.2687 0.86518
4063.08 0.553713 0.549669 14.2288 0.864584
4063.41 0.555145 0.54901 14.1904 0.86399
4063.75 0.555899 0.548686 14.1842 0.863398
4064.08 0.556106 0.5494 14.178 0.862809
4064.41 0.556106 0.554257 14.1727 0.862223
4064.74 0.556161 0.554051 14.1691 0.861639
4065.08 0.556408 0.554188 14.1654 0.861058
4065.41 0.556963 0.554658 14.1553 0.86048
4065.74 0.557773 0.555441 14.1412 0.859904
4066.07 0.558664 0.556505 14.1272 0.859332
4066.41 0.559485 0.5578 14.1105 0.858762
4066.74 0.560226 0.559269 14.0936 0.858196
4067.07 0.560918 0.560861 14.0771 0.857632
4067.41 0.561631 0.56253 14.0616 0.857072
4067.74 0.562509 0.564229 14.0462 0.856515
4068.07 0.563713 0.565908 14.025 0.855961
4068.4 0.565462 0.567519 13.9982 0.855411
4068.74 0.568041 0.569024 13.9714 0.854864
4069.07 0.571576 0.570392 13.921 0.854321
4069.4 0.575054 0.571602 13.8653 0.853781
4069.74 0.576964 0.572641 13.8196 0.853245
4070.07 0.576438 0.573517 13.8548 0.852712
4070.4 0.574493 0.574234 13.8902 0.852184
4070.73 0.572474 0.574796 13.9159 0.851659
4071.07 0.57119 0.575208 13.927 0.851138
4071.4 0.570761 0.575483 13.9383 0.850621
4071.73 0.571234 0.575628 13.9299 0.850108
4072.07 0.572332 0.575639 13.9133 0.849599
4072.4 0.573593 0.575508 13.8967 0.849094
4072.73 0.574571 0.575206 13.9004 0.848594
4073.07 0.574901 0.574694 13.9041 0.848098
4073.4 0.574243 0.57394 13.9203 0.847606
4073.73 0.57256 0.572939 13.9657 0.847119
4074.07 0.570338 0.571725 14.0114 0.846636
4074.4 0.568112 0.570388 14.0585 0.846158
4074.73 0.566456 0.569057 14.1065 0.845684
4075.07 0.565966 0.567871 14.1548 0.845215
4075.4 0.567043 0.566957 14.1477 0.844751
4075.73 0.569 0.566406 14.1345 0.844292
4076.07 0.570787 0.566263 14.1225 0.843837
4076.4 0.571753 0.566541 14.1157 0.843388
4076.73 0.572142 0.567242 14.1088 0.842943
4077.07 0.57232 0.568359 14.0938 0.842504
4077.4 0.572753 0.569867 14.0709 0.84207
4077.73 0.574002 0.57174 14.048 0.841641
4078.07 0.576511 0.573945 14.0012 0.841217
4078.4 0.57981 0.576413 13.9488 0.840799
4078.74 0.583029 0.579066 13.8986 0.840386
4079.07 0.585543 0.581845 13.864 0.839979
4079.4 0.587444 0.584713 13.8296 0.839577
4079.74 0.58896 0.587647 13.7916 0.839181
4080.07 0.59041 0.590652 13.7484 0.83879
4080.4 0.59223 0.59375 13.7054 0.838405
4080.74 0.594827 0.596952 13.6423 0.838027
4081.07 0.598217 0.600233 13.5716 0.837653
4081.41 0.602197 0.603545 13.5013 0.837286
4081.74 0.606521 0.606818 13.4251 0.836925
4082.07 0.610788 0.609979 13.3495 0.83657
4082.41 0.614564 0.612972 13.287 0.836222
4082.74 0.617522 0.615783 13.2505 0.835879
4083.08 0.619507 0.618431 13.2142 0.835543
4083.41 0.62044 0.620964 13.2027 0.835213
4083.74 0.621023 0.623448 13.2056 0.834889
4084.08 0.622516 0.625929 13.2085 0.834572
4084.41 0.625847 0.628429 13.1243 0.834262
4084.75 0.630284 0.630951 13.0351 0.833958
4085.08 0.634596 0.633476 12.9568 0.83366
4085.42 0.63801 0.635952 12.9102 0.83337
4085.75 0.640661 0.638331 12.8639 0.833086
4086.08 0.642784 0.64059 12.8315 0.83281
4086.42 0.644511 0.642703 12.8104 0.83254
4086.75 0.645884 0.64465 12.7893 0.832277
4087.09 0.646931 0.646431 12.7739 0.832021
4087.42 0.647638 0.648056 12.7596 0.831773
4087.76 0.647974 0.649507 12.746 0.831531
4088.09 0.647946 0.650757 12.736 0.831297
4088.42 0.647659 0.651776 12.726 0.831071
4088.76 0.647228 0.652531 12.7227 0.830851
4089.09 0.646718 0.652992 12.7267 0.830639
4089.43 0.646145 0.653148 12.7307 0.830435
4089.76 0.645506 0.653007 12.7495 0.830238
4090.1 0.644727 0.652581 12.7723 0.830049
4090.43 0.643692 0.651877 12.7947 0.829868
4090.77 0.642278 0.650878 12.8117 0.829695
4091.1 0.640326 0.649545 12.8288 0.829529
4091.44 0.637679 0.647826 12.8721 0.829371
4091.77 0.634481 0.645665 12.9539 0.829222
4092.11 0.631254 0.643024 13.0365 0.82908
4092.44 0.628479 0.639909 13.1092 0.828947
4092.78 0.626 0.636361 13.1783 0.828822
4093.11 0.623304 0.63244 13.2486 0.828705
4093.45 0.619958 0.628206 13.3411 0.828596
4093.78 0.615841 0.623695 13.4346 0.828496
4094.12 0.610904 0.618909 13.5366 0.828404
4094.45 0.605233 0.613834 13.6541 0.828321
4094.79 0.599116 0.608466 13.7732 0.828246
4095.12 0.592851 0.602836 13.8887 0.828179
4095.46 0.586663 0.59703 14.0029 0.828121
4095.79 0.580729 0.591157 14.1185 0.828071
4096.13 0.575228 0.585317 14.1955 0.828029
4096.46 0.57036 0.579578 14.2721 0.827994
4096.8 0.566329 0.57396 14.3371 0.827968
4097.13 0.563327 0.568442 14.372 0.827949
4097.47 0.561525 0.563 14.4072 0.827938
4097.8 0.561006 0.557637 14.4564 0.827934
4098.14 0.560558 0.552398 14.5152 0.827937
