log[Age(Myr)] n4864_SFR
2.6989700043360187 1.96743e-09
2.7484376745664973 1.61267e-09
2.7979056993527007 1.16382e-09
2.8473739733267314 7.54693e-10
2.8968413524209744 3.85765e-10
2.9463092780221425 1.57042e-10
2.9957773040840703 4.53777e-12
3.045244720478147 5.28907e-11
3.0947121423588384 1.63326e-09
3.1441817643668375 5.30935e-09
3.1936476637667615 5.75696e-09
3.243117455274604 6.76821e-09
3.292583884255552 1.19024e-08
3.3420533735347466 8.69746e-09
3.3915208329544204 8.32429e-09
3.440987751476157 4.96974e-09
3.490455735894072 8.58182e-09
3.539923776965465 1.59781e-08
3.5893921410106087 1.71801e-08
3.6388594973752038 2.69908e-08
3.688328147713719 3.75442e-08
3.7377959405311976 7.1246e-08
3.7872634741087965 1.93118e-07
3.836731629478519 2.15947e-07
3.8861995939089495 6.70569e-07
3.9356674516452066 1.1698e-06
3.985135349823362 2.3659e-06
4.034604395322679 4.72161e-06
4.084071989200302 8.31689e-06
4.133538908370218 6.01665e-06
