log[Age(Myr)] n4871_MASS
2.6989700043360187 0.0174363
2.7484376745664973 0.013433
2.7979056993527007 0.0024645
2.8473739733267314 0.000505456
2.8968413524209744 0.000335588
2.9463092780221425 0.0964707
2.9957773040840703 1.44005e-05
3.045244720478147 0.000118767
3.0947121423588384 0.393354
3.1441817643668375 0.027394
3.1936476637667615 0.226371
3.243117455274604 0.036544
3.292583884255552 0.155774
3.3420533735347466 0.0561268
3.3915208329544204 1.25451
3.440987751476157 16.2538
3.490455735894072 11.0928
3.539923776965465 29.969
3.5893921410106087 85.0223
3.6388594973752038 199.246
3.688328147713719 120.797
3.7377959405311976 371.525
3.7872634741087965 313.761
3.836731629478519 939.55
3.8861995939089495 884.82
3.9356674516452066 1863.18
3.985135349823362 2266.49
4.034604395322679 4782.16
4.084071989200302 7976.42
4.133538908370218 10675.8
