log[Age(Myr)] d158_MASS
2.6989700043360187 0.00198798
2.7484376745664973 0.000432651
2.7979056993527007 2.61069e-06
2.8473739733267314 1.92873e-06
2.8968413524209744 4.30003e-06
2.9463092780221425 0.000577763
2.9957773040840703 0.0317183
3.045244720478147 0.0683442
3.0947121423588384 0.287669
3.1441817643668375 3.74965
3.1936476637667615 15.8986
3.243117455274604 47.7793
3.292583884255552 102.708
3.3420533735347466 193.883
3.3915208329544204 172.403
3.440987751476157 135.824
3.490455735894072 175.903
3.539923776965465 174.206
3.5893921410106087 294.62
3.6388594973752038 336.644
3.688328147713719 386.105
3.7377959405311976 502.589
3.7872634741087965 751.553
3.836731629478519 577.073
3.8861995939089495 730.543
3.9356674516452066 787.686
3.985135349823362 1242.27
4.034604395322679 1044.93
4.084071989200302 4970.53
4.133538908370218 7237.6
