"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4051.13 0.638452 0.299587 0.0 0.941151
4051.46 0.641728 0.332172 0.0 0.940624
4051.79 0.643482 0.363805 0.0 0.940097
4052.13 0.643471 0.393721 0.0 0.93957
4052.46 0.642373 0.421761 0.0 0.939043
4052.79 0.640934 0.448303 0.0 0.938517
4053.12 0.639519 0.473673 0.0 0.937991
4053.45 0.63817 0.497558 0.0 0.937465
4053.78 0.636866 0.518891 0.0 0.936939
4054.12 0.635256 0.536472 0.0 0.936414
4054.45 0.63286 0.549931 0.0 0.935889
4054.78 0.629389 0.560019 0.0 0.935365
4055.11 0.625053 0.567957 0.0 0.934841
4055.44 0.620147 0.574648 0.0 0.934318
4055.77 0.615058 0.580363 0.0 0.933795
4056.11 0.610281 0.584914 0.0 0.933273
4056.44 0.606278 0.588074 0.0 0.932752
4056.77 0.60308 0.589914 0.0 0.932231
4057.1 0.600478 0.590851 0.0 0.931712
4057.43 0.598263 0.591445 0.0 0.931193
4057.77 0.596233 0.592165 0.0 0.930675
4058.1 0.594187 0.593253 0.0 0.930158
4058.43 0.592033 0.594559 0.0 0.929642
4058.76 0.589856 0.59549 0.0 0.929127
4059.09 0.587761 0.595412 0.0 0.928614
4059.43 0.585829 0.594253 10.7552 0.928101
4059.76 0.584125 0.592481 10.7907 0.927589
4060.09 0.582698 0.590236 10.8268 0.927079
4060.42 0.581498 0.58758 10.8632 0.92657
4060.76 0.580442 0.584547 10.8959 0.926063
4061.09 0.579447 0.581266 10.9092 0.925556
4061.42 0.578435 0.578091 10.9224 0.925052
4061.75 0.577327 0.575453 10.9333 0.924548
4062.08 0.576047 0.573126 10.9413 0.924047
4062.42 0.574518 0.570291 10.9493 0.923546
4062.75 0.572661 0.566842 10.9728 0.923048
4063.08 0.570371 0.563426 11.0015 0.922551
4063.41 0.567532 0.560535 11.0313 0.922056
4063.75 0.564253 0.558366 11.0827 0.921562
4064.08 0.561444 0.557181 11.1344 0.92107
4064.41 0.56018 0.560245 11.1627 0.920581
4064.74 0.560848 0.5604 11.1442 0.920093
4065.08 0.562771 0.561328 11.1257 0.919607
4065.41 0.565219 0.563031 11.0818 0.919123
4065.74 0.567933 0.565508 11.0233 0.918641
4066.07 0.570994 0.568724 10.9652 0.918161
4066.41 0.574452 0.57258 10.9194 0.917684
4066.74 0.578156 0.576894 10.8749 0.917208
4067.07 0.581893 0.581429 10.8327 0.916735
4067.41 0.585465 0.585925 10.7982 0.916264
4067.74 0.588704 0.590135 10.7638 0.915795
4068.07 0.591454 0.593864 10.7287 0.915329
4068.4 0.593728 0.596986 10.6928 0.914866
4068.74 0.595702 0.599452 10.6571 0.914404
4069.07 0.597535 0.601271 10.6246 0.913945
4069.4 0.599221 0.602484 10.5929 0.913489
4069.74 0.600681 0.603158 10.5635 0.913036
4070.07 0.601782 0.603388 10.5516 0.912585
4070.4 0.602241 0.603276 10.5398 0.912137
4070.73 0.601755 0.602927 10.5413 0.911691
4071.07 0.600429 0.602437 10.5626 0.911249
4071.4 0.598885 0.601876 10.5839 0.910809
4071.73 0.597757 0.601268 10.5739 0.910372
4072.07 0.597418 0.600585 10.5507 0.909938
4072.4 0.598089 0.599778 10.5275 0.909507
4072.73 0.599794 0.598795 10.506 0.909079
4073.07 0.601764 0.597608 10.4846 0.908655
4073.4 0.603038 0.596241 10.4753 0.908233
4073.73 0.603075 0.594758 10.4944 0.907815
4074.07 0.602046 0.593248 10.5135 0.907399
4074.4 0.600197 0.591795 10.5415 0.906988
4074.73 0.597863 0.590453 10.5756 0.906579
4075.07 0.595445 0.589234 10.6098 0.906174
4075.4 0.593296 0.588123 10.6395 0.905772
4075.73 0.591464 0.587112 10.6687 0.905374
4076.07 0.5899 0.586223 10.6973 0.904979
4076.4 0.588576 0.585532 10.7231 0.904588
4076.73 0.587518 0.585176 10.7491 0.9042
4077.07 0.586761 0.585321 10.774 0.903817
4077.4 0.586365 0.586116 10.7979 0.903436
4077.73 0.586413 0.587688 10.8218 0.90306
4078.07 0.58701 0.590116 10.8204 0.902687
4078.4 0.588404 0.593412 10.8129 0.902319
4078.74 0.590902 0.597531 10.7955 0.901954
4079.07 0.594851 0.602387 10.6969 0.901593
4079.4 0.600705 0.607852 10.5997 0.901236
4079.74 0.60892 0.613736 10.4735 0.900883
4080.07 0.619243 0.619818 10.3069 0.900535
4080.4 0.630529 0.625863 10.1442 0.90019
4080.74 0.641596 0.631645 10.0098 0.89985
4081.07 0.651503 0.636969 9.8875 0.899514
4081.41 0.65944 0.641718 9.76923 0.899182
4081.74 0.664774 0.645845 9.74345 0.898854
4082.07 0.667545 0.649369 9.71776 0.898531
4082.41 0.667951 0.652354 9.71621 0.898213
4082.74 0.666394 0.654894 9.76503 0.897898
4083.08 0.663607 0.657083 9.81423 0.897589
4083.41 0.660347 0.659018 9.86596 0.897284
4083.74 0.657364 0.660813 9.91939 0.896983
4084.08 0.655399 0.662585 9.97326 0.896687
4084.41 0.655098 0.664457 9.97149 0.896396
4084.75 0.656644 0.666554 9.96591 0.89611
4085.08 0.660074 0.668988 9.95183 0.895828
4085.42 0.664821 0.671806 9.91141 0.895552
4085.75 0.669118 0.675005 9.87123 0.89528
4086.08 0.671187 0.678546 9.84204 0.895013
4086.42 0.671627 0.682339 9.82172 0.894751
4086.75 0.673119 0.686267 9.80146 0.894495
4087.09 0.677909 0.690215 9.72492 0.894243
4087.42 0.685106 0.694075 9.64017 0.893996
4087.76 0.692631 0.697732 9.56294 0.893755
4088.09 0.698909 0.701069 9.51831 0.893519
4088.42 0.703602 0.703973 9.47399 0.893288
4088.76 0.70657 0.706336 9.44788 0.893063
4089.09 0.707966 0.708074 9.44151 0.892843
4089.43 0.70826 0.709131 9.43514 0.892628
4089.76 0.707894 0.709486 9.44462 0.892419
4090.1 0.707009 0.709155 9.45843 0.892215
4090.43 0.705606 0.708174 9.47353 0.892017
4090.77 0.703703 0.706586 9.50042 0.891825
4091.1 0.701384 0.704434 9.52742 0.891638
4091.44 0.698742 0.701769 9.55997 0.891457
