log[Age(Myr)] n4874_MASS
2.6989700043360187 1.52269e-05
2.7484376745664973 3.13306e-05
2.7979056993527007 6.5002e-05
2.8473739733267314 9.24288e-05
2.8968413524209744 0.000264496
2.9463092780221425 2.97439e-05
2.9957773040840703 0.00102358
3.045244720478147 0.00441037
3.0947121423588384 0.0104224
3.1441817643668375 0.00507723
3.1936476637667615 0.0208907
3.243117455274604 0.0171627
3.292583884255552 0.0187451
3.3420533735347466 0.00658055
3.3915208329544204 0.00012768
3.440987751476157 0.0129393
3.490455735894072 2.38233
3.539923776965465 3.13379
3.5893921410106087 31.2745
3.6388594973752038 41.6332
3.688328147713719 76.5547
3.7377959405311976 151.908
3.7872634741087965 326.1
3.836731629478519 549.679
3.8861995939089495 768.632
3.9356674516452066 574.348
3.985135349823362 1575.3
4.034604395322679 4884.48
4.084071989200302 10439.5
4.133538908370218 14678.3
