log[Age(Myr)] n4874_SAD
2.6989700043360187 1.27887e-08
2.7484376745664973 2.37112e-08
2.7979056993527007 4.26725e-08
2.8473739733267314 5.13839e-08
2.8968413524209744 1.27529e-07
2.9463092780221425 1.05933e-08
2.9957773040840703 3.46056e-07
3.045244720478147 1.61999e-06
3.0947121423588384 2.95824e-06
3.1441817643668375 1.49595e-06
3.1936476637667615 6.23448e-06
3.243117455274604 3.04634e-06
3.292583884255552 4.17458e-06
3.3420533735347466 1.27664e-06
3.3915208329544204 2.11744e-08
3.440987751476157 1.74488e-06
3.490455735894072 0.000351886
3.539923776965465 0.000503298
3.5893921410106087 0.00443108
3.6388594973752038 0.00492187
3.688328147713719 0.00881152
3.7377959405311976 0.0155121
3.7872634741087965 0.0279025
3.836731629478519 0.0463475
3.8861995939089495 0.0586399
3.9356674516452066 0.0214784
3.985135349823362 0.0492811
4.034604395322679 0.138872
4.084071989200302 0.269087
4.133538908370218 0.353873
