log[Age(Myr)] n4864_MASS
2.6989700043360187 0.112112
2.7484376745664973 0.102983
2.7979056993527007 0.0832865
2.8473739733267314 0.0605239
2.8968413524209744 0.0346694
2.9463092780221425 0.0158164
2.9957773040840703 0.000512156
3.045244720478147 0.00668971
3.0947121423588384 0.2315
3.1441817643668375 0.843344
3.1936476637667615 1.02477
3.243117455274604 1.35012
3.292583884255552 2.66074
3.3420533735347466 2.17885
3.3915208329544204 2.33696
3.440987751476157 1.56353
3.490455735894072 3.02565
3.539923776965465 6.31293
3.5893921410106087 7.6068
3.6388594973752038 13.3924
3.688328147713719 20.8763
3.7377959405311976 44.3955
3.7872634741087965 134.856
3.836731629478519 168.99
3.8861995939089495 588.065
3.9356674516452066 1149.64
3.985135349823362 2605.64
4.034604395322679 5827.41
4.084071989200302 11503.1
4.133538908370218 9325.6
