log[Age(Myr)] d154_SAD
2.6989700043360187 0.000139335
2.7484376745664973 0.000133199
2.7979056993527007 0.000119358
2.8473739733267314 0.000125607
2.8968413524209744 0.000277204
2.9463092780221425 0.000294954
2.9957773040840703 0.000317454
3.045244720478147 0.000683299
3.0947121423588384 0.0025077
3.1441817643668375 0.00343274
3.1936476637667615 0.00640783
3.243117455274604 0.0093651
3.292583884255552 0.0118241
3.3420533735347466 0.0171259
3.3915208329544204 0.0193283
3.440987751476157 0.019763
3.490455735894072 0.0271286
3.539923776965465 0.0270869
3.5893921410106087 0.0304985
3.6388594973752038 0.0400228
3.688328147713719 0.0419859
3.7377959405311976 0.0463507
3.7872634741087965 0.0533695
3.836731629478519 0.0504846
3.8861995939089495 0.0564723
3.9356674516452066 0.0618426
3.985135349823362 0.0851625
4.034604395322679 0.0982923
4.084071989200302 0.124487
4.133538908370218 0.164968
