log[Age(Myr)] n4867_MASS
2.6989700043360187 7.78987
2.7484376745664973 8.50063
2.7979056993527007 9.47646
2.8473739733267314 8.2608
2.8968413524209744 6.12212
2.9463092780221425 3.93232
2.9957773040840703 2.72927
3.045244720478147 0.531834
3.0947121423588384 2.32942
3.1441817643668375 6.62749
3.1936476637667615 34.8028
3.243117455274604 16.8748
3.292583884255552 26.207
3.3420533735347466 29.3606
3.3915208329544204 37.0217
3.440987751476157 82.7948
3.490455735894072 69.4275
3.539923776965465 91.9723
3.5893921410106087 114.485
3.6388594973752038 179.791
3.688328147713719 218.082
3.7377959405311976 297.792
3.7872634741087965 343.763
3.836731629478519 471.035
3.8861995939089495 876.065
3.9356674516452066 1419.68
3.985135349823362 2359.44
4.034604395322679 4457.87
4.084071989200302 7313.54
4.133538908370218 11148.9
