log[Age(Myr)] d128_AMR
2.6989700043360187 0.00209221
2.7484376745664973 0.00237748
2.7979056993527007 0.00526223
2.8473739733267314 0.00973779
2.8968413524209744 0.0111965
2.9463092780221425 0.0156621
2.9957773040840703 0.00865427
3.045244720478147 0.00217983
3.0947121423588384 0.0167684
3.1441817643668375 0.0124428
3.1936476637667615 0.0043682
3.243117455274604 0.0259938
3.292583884255552 0.0121113
3.3420533735347466 0.0124661
3.3915208329544204 0.0150644
3.440987751476157 0.0106091
3.490455735894072 0.0163988
3.539923776965465 0.0103888
3.5893921410106087 0.00763146
3.6388594973752038 0.0154985
3.688328147713719 0.0143669
3.7377959405311976 0.0162278
3.7872634741087965 0.015414
3.836731629478519 0.0176482
3.8861995939089495 0.0120414
3.9356674516452066 0.00780028
3.985135349823362 0.014559
4.034604395322679 0.0174356
4.084071989200302 0.0331916
4.133538908370218 0.00801615
