log[Age(Myr)] d157_SFR
2.6989700043360187 1.5538166935544458e-09
2.7484376745664973 1.340714165129384e-09
2.7979056993527007 1.1276101093083267e-09
2.847373973326732 9.14504980007239e-10
2.8968413524209744 7.014037057723933e-10
2.9463092780221425 4.88300077232057e-10
2.9957773040840703 2.7519601591528705e-10
3.045244720478147 6.209458099591798e-11
3.0947121423588384 4.077102781727537e-12
3.144181764366837 4.762816473079233e-12
3.193647663766761 3.332601531290092e-11
3.243117455274603 1.206644512369705e-10
3.2925838842555515 1.446160732871148e-11
3.342053373534746 1.0636966533735653e-12
3.3915208329544204 3.403779368742348e-13
3.4409877514761567 5.175243347244083e-11
3.490455735894072 4.5241607144679653e-10
3.539923776965465 2.481852773849202e-09
3.5893921410106087 1.738441350806264e-08
3.638859497375204 1.6255744966502353e-08
3.688328147713719 7.179783764093506e-08
3.7377959405311976 1.954531182159373e-07
3.787263474108797 3.086435210044217e-07
3.8367316294785185 2.4787225905600095e-07
3.8861995939089495 3.869023210829734e-07
3.935667451645207 1.373681192480209e-06
3.9851353498233615 3.2311331247891414e-06
4.0346043953226784 4.211340481185509e-06
4.084071989200302 4.108204364010286e-06
4.133538908370218 6.995750000000001e-06
