log[Age(Myr)] n4872_AMR
2.6989700043360187 0.00592257
2.7484376745664973 0.00667811
2.7979056993527007 0.00907003
2.8473739733267314 0.0131394
2.8968413524209744 0.0142517
2.9463092780221425 0.0302795
2.9957773040840703 0.0276764
3.045244720478147 0.0248331
3.0947121423588384 0.00474409
3.1441817643668375 0.0278851
3.1936476637667615 0.0155789
3.243117455274604 0.0256335
3.292583884255552 0.0242378
3.3420533735347466 0.00205817
3.3915208329544204 0.0213485
3.440987751476157 0.00392229
3.490455735894072 0.0307534
3.539923776965465 0.00421328
3.5893921410106087 0.00391794
3.6388594973752038 0.00513981
3.688328147713719 0.00425612
3.7377959405311976 0.00422756
3.7872634741087965 0.00405717
3.836731629478519 0.0331722
3.8861995939089495 0.0331917
3.9356674516452066 0.0331918
3.985135349823362 0.0331917
4.034604395322679 0.0331918
4.084071989200302 0.0331918
4.133538908370218 0.0331918
