log[Age(Myr)] d157_SAD
3.0 1.07173e-05
3.059658066366697 2.00308e-10
3.1193185868428577 3.72248e-07
3.1789798234060425 7.70818e-08
3.2386406543078228 9.21347e-06
3.2983005818906266 1.23399e-07
3.357959608699205 2.92351e-08
3.417619477650155 4.17101e-09
3.4772790197225136 5.26747e-06
3.536939545465176 6.17197e-05
3.596599294580295 0.00127251
3.65625923500847 0.000593076
3.7159189820904373 0.0084356
3.775579139815487 0.0203756
3.8352389240683866 0.0193142
3.894898977548499 0.0319727
3.9545589465519466 0.151084
4.014218023337068 0.310667
4.073879577438335 0.150652
4.133538908370218 0.305536
