log[Age(Myr)] n4872_MASS
2.6989700043360187 0.00992794
2.7484376745664973 0.00769384
2.7979056993527007 0.00141505
2.8473739733267314 0.00103237
2.8968413524209744 0.00112086
2.9463092780221425 0.00661124
2.9957773040840703 0.000189408
3.045244720478147 0.00186346
3.0947121423588384 0.00507544
3.1441817643668375 0.0154976
3.1936476637667615 0.0146918
3.243117455274604 0.0626695
3.292583884255552 0.629768
3.3420533735347466 9.52377
3.3915208329544204 5.50797
3.440987751476157 28.328
3.490455735894072 43.403
3.539923776965465 153.586
3.5893921410106087 165.12
3.6388594973752038 242.708
3.688328147713719 219.547
3.7377959405311976 425.138
3.7872634741087965 621.861
3.836731629478519 836.289
3.8861995939089495 1096.57
3.9356674516452066 1720.25
3.985135349823362 2924.82
4.034604395322679 5153.94
4.084071989200302 7295.35
4.133538908370218 9668.97
