log[Age(Myr)] d158_AMR
2.6989700043360187 0.00568557
2.7484376745664973 0.00625895
2.7979056993527007 0.0086666
2.8473739733267314 0.0109039
2.8968413524209744 0.0107794
2.9463092780221425 0.0150631
2.9957773040840703 0.0177098
3.045244720478147 0.0181612
3.0947121423588384 0.00949747
3.1441817643668375 0.00860626
3.1936476637667615 0.0134507
3.243117455274604 0.00990042
3.292583884255552 0.00801486
3.3420533735347466 0.0079593
3.3915208329544204 0.00795719
3.440987751476157 0.00823545
3.490455735894072 0.0226115
3.539923776965465 0.0180007
3.5893921410106087 0.0331917
3.6388594973752038 0.015093
3.688328147713719 0.00790166
3.7377959405311976 0.007956
3.7872634741087965 0.0079211
3.836731629478519 0.00435006
3.8861995939089495 0.00382281
3.9356674516452066 0.00140485
3.985135349823362 0.00514978
4.034604395322679 0.00220752
4.084071989200302 0.0199828
4.133538908370218 0.0199286
