log[Age(Myr)] d127_MASS
2.6989700043360187 2.95302
2.7484376745664973 2.60803
2.7979056993527007 2.1375
2.8473739733267314 1.91353
2.8968413524209744 1.6116
2.9463092780221425 1.38302
2.9957773040840703 0.0116023
3.045244720478147 0.0950193
3.0947121423588384 0.243755
3.1441817643668375 4.45718
3.1936476637667615 5.97946
3.243117455274604 16.9407
3.292583884255552 24.3702
3.3420533735347466 37.3505
3.3915208329544204 57.569
3.440987751476157 84.4378
3.490455735894072 109.07
3.539923776965465 162.572
3.5893921410106087 201.018
3.6388594973752038 314.202
3.688328147713719 342.064
3.7377959405311976 476.105
3.7872634741087965 528.874
3.836731629478519 941.745
3.8861995939089495 1415.37
3.9356674516452066 2023.14
3.985135349823362 2886.05
4.034604395322679 4084.81
4.084071989200302 5500.73
4.133538908370218 8256.88
