log[Age(Myr)] n4867_SAD
2.6989700043360187 0.00699203
2.7484376745664973 0.00694596
2.7979056993527007 0.00708261
2.8473739733267314 0.00564078
2.8968413524209744 0.00384579
2.9463092780221425 0.00222608
2.9957773040840703 0.00136913
3.045244720478147 0.000216779
3.0947121423588384 0.00101062
3.1441817643668375 0.00277062
3.1936476637667615 0.0119831
3.243117455274604 0.0050358
3.292583884255552 0.00677722
3.3420533735347466 0.00682773
3.3915208329544204 0.00774536
3.440987751476157 0.0155907
3.490455735894072 0.0119155
3.539923776965465 0.0138378
3.5893921410106087 0.0161888
3.6388594973752038 0.0223164
3.688328147713719 0.025146
3.7377959405311976 0.030282
3.7872634741087965 0.0167454
3.836731629478519 0.0397575
3.8861995939089495 0.0333339
3.9356674516452066 0.0489384
3.985135349823362 0.0738115
4.034604395322679 0.126743
4.084071989200302 0.188515
4.133538908370218 0.260418
