log[Age(Myr)] d127_SAD
2.6989700043360187 0.00254949
2.7484376745664973 0.00200511
2.7979056993527007 0.00135881
2.8473739733267314 0.00106156
2.8968413524209744 0.000795465
2.9463092780221425 0.00054415
2.9957773040840703 5.95919e-06
3.045244720478147 4.69163e-05
3.0947121423588384 7.48037e-05
3.1441817643668375 0.0015474
3.1936476637667615 0.00148343
3.243117455274604 0.00500415
3.292583884255552 0.00580233
3.3420533735347466 0.00735445
3.3915208329544204 0.0109963
3.440987751476157 0.0154412
3.490455735894072 0.0168418
3.539923776965465 0.0239352
3.5893921410106087 0.0224337
3.6388594973752038 0.0378125
3.688328147713719 0.0393804
3.7377959405311976 0.0451775
3.7872634741087965 0.0490264
3.836731629478519 0.044651
3.8861995939089495 0.0538341
3.9356674516452066 0.0697407
3.985135349823362 0.090286
4.034604395322679 0.116138
4.084071989200302 0.141786
4.133538908370218 0.192878
