log[Age(Myr)] n4871_SFR
2.6989700043360187 3.05985e-10
2.7484376745664973 2.10354e-10
2.7979056993527007 3.44381e-11
2.8473739733267314 6.30269e-12
2.8968413524209744 3.73406e-12
2.9463092780221425 9.57859e-10
2.9957773040840703 1.2759e-13
3.045244720478147 9.39002e-13
3.0947121423588384 2.77515e-09
3.1441817643668375 1.72461e-10
3.1936476637667615 1.27171e-09
3.243117455274604 1.83195e-10
3.292583884255552 6.96829e-10
3.3420533735347466 2.24044e-10
3.3915208329544204 4.46858e-09
3.440987751476157 5.16634e-08
3.490455735894072 3.14629e-08
3.539923776965465 7.58515e-08
3.5893921410106087 1.92024e-07
3.6388594973752038 4.01555e-07
3.688328147713719 2.17241e-07
3.7377959405311976 5.96223e-07
3.7872634741087965 4.49315e-07
3.836731629478519 1.20062e-06
3.8861995939089495 1.00895e-06
3.9356674516452066 1.89585e-06
3.985135349823362 2.05794e-06
4.034604395322679 3.87469e-06
4.084071989200302 5.76704e-06
4.133538908370218 6.88776e-06
