log[Age(Myr)] d157_MASS
3.0 0.0353328
3.059658066366697 4.9039e-07
3.1193185868428577 0.00125522
3.1789798234060425 0.000357072
3.2386406543078228 0.031027
3.2983005818906266 0.000597847
3.357959608699205 0.000205305
3.417619477650155 3.44374e-05
3.4772790197225136 0.0544516
3.536939545465176 0.749225
3.596599294580295 10.6196
3.65625923500847 9.28103
3.7159189820904373 86.3084
3.775579139815487 266.062
3.8352389240683866 229.24
3.894898977548499 443.964
3.9545589465519466 2253.06
4.014218023337068 6497.14
4.073879577438335 5725.62
4.133538908370218 13080.0
