"v (km/s)" BF[g(v)]
-1003.98 0.000642857
-979.531 0.000962113
-955.082 0.00143471
-930.63 0.00203483
-906.177 0.00241718
-881.722 0.00218838
-857.265 0.00147951
-832.805 0.000805372
-808.344 0.000428888
-783.881 0.000296756
-759.416 0.000312224
-734.949 0.000424822
-710.479 0.00055011
-686.008 0.000595108
-661.535 0.00058494
-637.06 0.000630048
-612.582 0.00094935
-588.103 0.00144629
-563.622 0.00199039
-539.139 0.00230022
-514.653 0.00222657
-490.166 0.00194341
-465.677 0.00174582
-441.186 0.00185983
-416.692 0.0025243
-392.197 0.00416287
-367.7 0.00736793
-343.2 0.0124047
-318.699 0.0185349
-294.196 0.024353
-269.691 0.0289396
-245.183 0.0324688
-220.674 0.0361408
-196.163 0.041442
-171.649 0.0487215
-147.134 0.0564594
-122.617 0.0622479
-98.0974 0.0644705
-73.5761 0.0632751
-49.0527 0.0603311
-24.5274 0.0576042
-2.66269e-10 0.0558556
24.5294 0.053977
49.0607 0.0499617
73.5941 0.0428878
98.1295 0.0340334
122.667 0.0259045
147.206 0.0201231
171.748 0.0163099
196.291 0.0128948
220.837 0.0090484
245.384 0.00547673
269.933 0.00314551
294.485 0.00207103
319.038 0.00180636
343.594 0.00203563
368.151 0.00246126
392.711 0.00250801
417.272 0.00172976
441.836 0.000662503
466.401 0.000109793
490.969 2.29026e-06
515.538 3.70551e-06
540.11 8.14116e-06
564.683 9.42811e-06
589.259 6.45337e-06
613.837 6.87791e-07
638.416 9.39507e-05
662.998 0.000525845
687.581 0.000836222
712.167 0.00044223
736.755 7.94678e-05
761.344 2.76036e-06
785.936 7.49229e-07
810.53 1.12332e-06
835.125 2.02826e-07
859.723 2.44188e-05
884.323 0.000198321
908.924 0.000683329
933.528 0.00113262
958.134 0.00090041
982.742 0.000313941
1007.35 3.89792e-05
