Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4093.11,0.641296,0.641336,8.29857,0.871149
4093.45,0.637537,0.637561,8.36037,0.870905
4093.78,0.632117,0.633586,8.42286,0.870667
4094.12,0.625606,0.629411,8.49181,0.870435
4094.45,0.618601,0.625009,8.57265,0.870209
4094.79,0.611738,0.620353,8.65467,0.869989
4095.12,0.605625,0.615451,8.72875,0.869774
4095.46,0.600483,0.610368,8.799,0.869565
4095.79,0.596277,0.605204,8.87011,0.869362
4096.13,0.592938,0.600066,8.9253,0.869165
4096.46,0.590275,0.595036,8.98053,0.868973
4096.8,0.58806,0.590152,9.03728,0.868787
4097.13,0.585916,0.585402,9.0971,0.868606
4097.47,0.583198,0.580764,9.15752,0.86843
4097.8,0.57928,0.576249,9.23429,0.868259
4098.14,0.574218,0.57191,9.32257,0.868094
4098.47,0.568592,0.567839,9.41213,0.867934
4098.81,0.563047,0.564134,9.46404,0.867779
4099.14,0.558501,0.560863,9.51288,0.867628
4099.48,0.555954,0.558045,9.55477,0.867483
4099.81,0.55553,0.555649,9.57288,0.867342
4100.15,0.555585,0.553625,9.59105,0.867206
4100.48,0.554345,0.551934,9.62367,0.867075
4100.82,0.551678,0.550556,9.66827,0.866948
4101.16,0.548887,0.549487,9.71318,0.866826
4101.49,0.547169,0.548739,9.72817,0.866708
4101.83,0.546785,0.548331,9.73863,0.866594
4102.16,0.547652,0.548263,9.74467,0.866485
4102.5,0.549417,0.548539,9.73145,0.86638
4102.83,0.551102,0.54917,9.71825,0.866279
4103.17,0.551687,0.550173,9.71205,0.866182
4103.51,0.551074,0.551547,9.71266,0.866089
4103.84,0.550084,0.553278,9.71327,0.866
4104.18,0.549546,0.555337,9.70719,0.865915
4104.51,0.550106,0.557666,9.6997,0.865833
4104.85,0.552329,0.560187,9.6822,0.865755
4105.18,0.556471,0.562826,9.60611,0.865681
4105.52,0.561968,0.565538,9.5309,0.86561
4105.86,0.568121,0.568293,9.46079,0.865543
4106.19,0.574122,0.571068,9.39626,0.865479
4106.53,0.579041,0.573845,9.33238,0.865418
4106.86,0.582101,0.576609,9.28936,0.86536
4107.2,0.583772,0.579318,9.25209,0.865306
4107.54,0.585102,0.581905,9.21445,0.865255
4107.87,0.586817,0.584314,9.17212,0.865206
4108.21,0.588699,0.586521,9.13007,0.865161
4108.54,0.590363,0.588518,9.09723,0.865118
4108.88,0.591616,0.590314,9.07633,0.865079
4109.22,0.592492,0.591958,9.0555,0.865042
4109.55,0.59307,0.593522,9.04841,0.865007
