log[Age(Myr)] gmp3565_MASS
2.6989700043360187 0.0305887
2.7484376745664973 0.21575
2.7979056993527007 0.567972
2.8473739733267314 0.722686
2.8968413524209744 1.4965
2.9463092780221425 2.0123
2.9957773040840703 3.55677
3.045244720478147 4.43537
3.0947121423588384 8.08294
3.1441817643668375 11.1427
3.1936476637667615 17.9668
3.243117455274604 30.4181
3.292583884255552 49.7236
3.3420533735347466 70.2912
3.3915208329544204 115.613
3.440987751476157 174.033
3.490455735894072 178.869
3.539923776965465 208.829
3.5893921410106087 279.65
3.6388594973752038 386.409
3.688328147713719 336.313
3.7377959405311976 369.564
3.7872634741087965 445.008
3.836731629478519 831.219
3.8861995939089495 1167.5
3.9356674516452066 905.262
3.985135349823362 2221.56
4.034604395322679 3236.24
4.084071989200302 4155.49
4.133538908370218 4449.81
