log[Age(Myr)] d157_AMR
3.0 0.0320941
3.059658066366697 0.00653433
3.1193185868428577 0.0147064
3.1789798234060425 0.0293942
3.2386406543078228 0.00386514
3.2983005818906266 0.00805877
3.357959608699205 0.0186832
3.417619477650155 0.0201427
3.4772790197225136 0.0255402
3.536939545465176 0.0285091
3.596599294580295 0.00636257
3.65625923500847 0.029838
3.7159189820904373 0.00537058
3.775579139815487 0.00795087
3.8352389240683866 0.00394741
3.894898977548499 0.00435059
3.9545589465519466 0.00389972
4.014218023337068 0.00795796
4.073879577438335 0.0331918
4.133538908370218 0.0331917
