log[Age(Myr)] n4872_SFR
2.6989700043360187 1.74225e-10
2.7484376745664973 1.20483e-10
2.7979056993527007 1.97736e-11
2.8473739733267314 1.28731e-11
2.8968413524209744 1.24718e-11
2.9463092780221425 6.56438e-11
2.9957773040840703 1.67819e-12
3.045244720478147 1.47332e-11
3.0947121423588384 3.58081e-11
3.1441817643668375 9.75671e-11
3.1936476637667615 8.25369e-11
3.243117455274604 3.14167e-10
3.292583884255552 2.81719e-09
3.3420533735347466 3.80169e-08
3.3915208329544204 1.96197e-08
3.440987751476157 9.00426e-08
3.490455735894072 1.23107e-07
3.539923776965465 3.8873e-07
3.5893921410106087 3.7293e-07
3.6388594973752038 4.89154e-07
3.688328147713719 3.9484e-07
3.7377959405311976 6.82268e-07
3.7872634741087965 8.90533e-07
3.836731629478519 1.06868e-06
3.8861995939089495 1.25042e-06
3.9356674516452066 1.75043e-06
3.985135349823362 2.65573e-06
4.034604395322679 4.17596e-06
4.084071989200302 5.27467e-06
4.133538908370218 6.23824e-06
