log[Age(Myr)] gmp3565_SFR
2.6989700043360187 5.36805e-10
2.7484376745664973 3.37862e-09
2.7979056993527007 7.93683e-09
2.8473739733267314 9.01159e-09
2.8968413524209744 1.66518e-08
2.9463092780221425 1.99807e-08
2.9957773040840703 3.15141e-08
3.045244720478147 3.5068e-08
3.0947121423588384 5.70272e-08
3.1441817643668375 7.01515e-08
3.1936476637667615 1.00936e-07
3.243117455274604 1.5249e-07
3.292583884255552 2.22435e-07
3.3420533735347466 2.80591e-07
3.3915208329544204 4.11824e-07
3.440987751476157 5.53184e-07
3.490455735894072 5.07348e-07
3.539923776965465 5.28557e-07
3.5893921410106087 6.31609e-07
3.6388594973752038 7.78777e-07
3.688328147713719 6.04842e-07
3.7377959405311976 5.93089e-07
3.7872634741087965 6.3728e-07
3.836731629478519 1.06221e-06
3.8861995939089495 1.33132e-06
3.9356674516452066 9.21156e-07
3.985135349823362 2.0172e-06
4.034604395322679 2.62219e-06
4.084071989200302 3.00453e-06
4.133538908370218 2.87097e-06
