log[Age(Myr)] d154_SFR
2.6989700043360187 2.78343e-09
2.7484376745664973 2.62768e-09
2.7979056993527007 2.41066e-09
2.8473739733267314 2.55509e-09
2.8968413524209744 5.49052e-09
2.9463092780221425 6.23123e-09
2.9957773040840703 7.41921e-09
3.045244720478147 1.44008e-08
3.0947121423588384 4.8664e-08
3.1441817643668375 6.12104e-08
3.1936476637667615 1.1164e-07
3.243117455274604 1.71165e-07
3.292583884255552 2.0903e-07
3.3420533735347466 3.5313e-07
3.3915208329544204 3.74256e-07
3.440987751476157 4.29743e-07
3.490455735894072 3.77108e-07
3.539923776965465 4.95825e-07
3.5893921410106087 5.66437e-07
3.6388594973752038 5.91274e-07
3.688328147713719 5.90045e-07
3.7377959405311976 6.88154e-07
3.7872634741087965 8.12853e-07
3.836731629478519 1.5329e-06
3.8861995939089495 8.48571e-07
3.9356674516452066 9.59639e-07
3.985135349823362 2.47161e-06
4.034604395322679 2.80114e-06
4.084071989200302 3.49202e-06
4.133538908370218 4.5567e-06
