Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4093.11,0.73081,0.718596,1.29881,0.85605
4093.45,0.717043,0.714212,1.31826,0.856241
4093.78,0.70279,0.709365,1.33814,0.856432
4094.12,0.691659,0.703962,1.3547,0.856624
4094.45,0.684918,0.697962,1.3643,0.856817
4094.79,0.680306,0.691401,1.374,0.85701
4095.12,0.675406,0.684395,1.38192,0.857204
4095.46,0.669414,0.677123,1.38892,0.857398
4095.79,0.662589,0.669791,1.39598,0.857593
4096.13,0.655515,0.662592,1.40476,0.857788
4096.46,0.650097,0.655664,1.41367,0.857984
4096.8,0.648571,0.649037,1.42138,0.858181
4097.13,0.650368,0.642627,1.42594,0.858377
4097.47,0.649991,0.636249,1.43053,0.858575
4097.8,0.641868,0.629657,1.44333,0.858773
4098.14,0.626772,0.622594,1.46183,0.858971
4098.47,0.610331,0.614852,1.48069,0.85917
4098.81,0.597372,0.606323,1.50402,0.859369
4099.14,0.58797,0.597027,1.52829,0.859569
4099.48,0.580681,0.58712,1.55069,0.859769
4099.81,0.574346,0.576884,1.56539,0.85997
4100.15,0.568373,0.566702,1.58031,0.860171
4100.48,0.562289,0.557023,1.59027,0.860373
4100.82,0.556434,0.54832,1.59608,0.860575
4101.16,0.551862,0.541064,1.60193,0.860777
4101.49,0.549384,0.535687,1.60777,0.86098
4101.83,0.548233,0.532554,1.61363,0.861183
4102.16,0.547058,0.531929,1.61974,0.861386
4102.5,0.545253,0.533945,1.62686,0.86159
4102.83,0.543936,0.538595,1.63402,0.861795
4103.17,0.544484,0.545727,1.63395,0.861999
4103.51,0.548675,0.555054,1.62683,0.862204
4103.84,0.558683,0.566184,1.61975,0.86241
4104.18,0.575958,0.578647,1.58899,0.862615
4104.51,0.596926,0.591932,1.55428,0.862821
4104.85,0.615915,0.605512,1.5219,0.863028
4105.18,0.629196,0.618883,1.4975,0.863234
4105.52,0.63814,0.63158,1.47369,0.863441
4105.86,0.644912,0.643212,1.4575,0.863648
4106.19,0.650856,0.653474,1.44963,0.863856
4106.53,0.656417,0.662164,1.44182,0.864064
4106.86,0.661957,0.669195,1.43473,0.864272
4107.2,0.66753,0.674582,1.42786,0.86448
4107.54,0.673049,0.678422,1.42123,0.864689
4107.87,0.678248,0.680862,1.41622,0.864898
4108.21,0.682352,0.68209,1.41124,0.865107
4108.54,0.684523,0.682319,1.4081,0.865316
4108.88,0.684754,0.681772,1.40737,0.865525
4109.22,0.684041,0.680698,1.40665,0.865735
4109.55,0.68339,0.679376,1.40709,0.865945
4109.89,0.683388,0.678099,1.40792,0.866155
4110.23,0.684405,0.677142,1.40863,0.866366
4110.56,0.686483,0.676741,1.40791,0.866576
4110.9,0.688609,0.677069,1.40719,0.866787
4111.23,0.6896,0.678214,1.40684,0.866998
4111.57,0.689586,0.68018,1.40703,0.867209
4111.91,0.690411,0.682918,1.40723,0.86742
4112.24,0.693732,0.686344,1.40799,0.867631
4112.58,0.698375,0.69036,1.40896,0.867842
4112.92,0.70161,0.694865,1.41003,0.868054
4113.25,0.701729,0.699759,1.41286,0.868266
4113.59,0.700617,0.704928,1.41569,0.868477
4113.93,0.7009,0.71022,1.41593,0.868689
4114.26,0.703927,0.715444,1.41187,0.868901
4114.6,0.709272,0.720361,1.40783,0.869113
4114.94,0.716343,0.724694,1.40039,0.869325
4115.27,0.724172,0.72816,1.39158,0.869537
4115.61,0.731566,0.73051,1.38291,0.86975
4115.95,0.737525,0.731574,1.37602,0.869962
4116.28,0.741743,0.731292,1.36919,0.870174
4116.62,0.744078,0.729726,1.36528,0.870387
4116.96,0.74427,0.727056,1.36658,0.870599
4117.29,0.741898,0.723547,1.36788,0.870812
4117.63,0.736548,0.71951,1.37573,0.871024
4117.97,0.728066,0.715263,1.3867,0.871236
4118.3,0.716452,0.711097,1.39783,0.871449
4118.64,0.702665,0.70725,1.41114,0.871661
4118.98,0.691323,0.703895,1.42464,0.871874
4119.32,0.68784,0.701133,1.43174,0.872086
4119.65,0.692744,0.698996,1.42629,0.872298
4119.99,0.699186,0.69747,1.42088,0.87251
4120.33,0.700299,0.696523,1.42281,0.872723
4120.66,0.695993,0.696123,1.42833,0.872935
4121.0,0.690482,0.696253,1.43384,0.873147
4121.34,0.687362,0.696919,1.42992,0.873359
4121.68,0.687519,0.69813,1.426,0.873571
4122.01,0.691154,0.699879,1.42085,0.873783
4122.35,0.697732,0.702111,1.41323,0.873994
4122.69,0.705578,0.70473,1.40567,0.874206
4123.02,0.712962,0.707604,1.39962,0.874417
4123.36,0.718643,0.710581,1.39432,0.874629
4123.7,0.721697,0.713493,1.38906,0.87484
4124.04,0.721454,0.716176,1.38839,0.875051
4124.37,0.718253,0.718481,1.38773,0.875262
4124.71,0.712696,0.720276,1.38869,0.875472
4125.05,0.705871,0.721458,1.39294,0.875683
4125.39,0.699632,0.721958,1.39721,0.875893
4125.72,0.695802,0.721756,1.40411,0.876104
4126.06,0.695117,0.720876,1.41239,0.876314
4126.4,0.697601,0.719388,1.42075,0.876523
4126.74,0.702655,0.717389,1.4162,0.876733
4127.07,0.707222,0.714992,1.41165,0.876942
4127.41,0.707673,0.712297,1.40925,0.877152
4127.75,0.7031,0.709388,1.41113,0.87736
4128.09,0.696831,0.706309,1.41302,0.877569
4128.43,0.692298,0.703063,1.4195,0.877778
4128.76,0.689949,0.699615,1.42835,0.877986
4129.1,0.688306,0.695913,1.43728,0.878194
4129.44,0.686007,0.691908,1.44794,0.878401
4129.78,0.682276,0.687565,1.45871,0.878609
4130.11,0.676498,0.682869,1.46817,0.878816
4130.45,0.669143,0.677832,1.47489,0.879022
4130.79,0.662339,0.672512,1.48166,0.879229
4131.13,0.658186,0.667029,1.48426,0.879435
4131.47,0.656896,0.66157,1.48487,0.879641
4131.8,0.657496,0.656402,1.48545,0.879846
4132.14,0.659091,0.651866,1.48439,0.880051
4132.48,0.661156,0.648333,1.48334,0.880256
4132.82,0.663255,0.646135,1.4834,0.88046
4133.16,0.664957,0.645517,1.48552,0.880664
4133.5,0.665839,0.64661,1.48764,0.880868
4133.83,0.665625,0.649431,1.48768,0.881071
4134.17,0.665616,0.653888,1.48679,0.881274
4134.51,0.668064,0.65981,1.4857,0.881477
4134.85,0.674202,0.666983,1.47801,0.881679
4135.19,0.681472,0.675144,1.47038,0.88188
4135.53,0.686493,0.683981,1.46472,0.882082
4135.86,0.688034,0.693142,1.46237,0.882283
4136.2,0.687882,0.702275,1.46001,0.882483
4136.54,0.688051,0.71106,1.45576,0.882683
4136.88,0.690506,0.719248,1.45076,0.882882
4137.22,0.697184,0.726681,1.44528,0.883081
4137.56,0.708843,0.733286,1.43058,0.88328
