log[Age(Myr)] n4871_SAD
2.6989700043360187 1.46604e-05
2.7484376745664973 1.01671e-05
2.7979056993527007 1.6308e-06
2.8473739733267314 2.87541e-07
2.8968413524209744 1.69177e-07
2.9463092780221425 3.33337e-05
2.9957773040840703 5.79384e-09
3.045244720478147 3.6651e-08
3.0947121423588384 0.000157051
3.1441817643668375 1.17311e-05
3.1936476637667615 7.14786e-05
3.243117455274604 1.11754e-05
3.292583884255552 3.40773e-05
3.3420533735347466 1.06521e-05
3.3915208329544204 0.000266469
3.440987751476157 0.00305717
3.490455735894072 0.00099894
3.539923776965465 0.00445653
3.5893921410106087 0.00598558
3.6388594973752038 0.0212729
3.688328147713719 0.007835
3.7377959405311976 0.0361926
3.7872634741087965 0.023334
3.836731629478519 0.0751828
3.8861995939089495 0.0336531
3.9356674516452066 0.125564
3.985135349823362 0.0709046
4.034604395322679 0.135963
4.084071989200302 0.205594
4.133538908370218 0.249407
