log[Age(Myr)] gmp3565_SAD
2.6989700043360187 2.57255e-05
2.7484376745664973 0.000162676
2.7979056993527007 0.000372018
2.8473739733267314 0.000399325
2.8968413524209744 0.000752968
2.9463092780221425 0.000849273
2.9957773040840703 0.00132224
3.045244720478147 0.00146821
3.0947121423588384 0.00280078
3.1441817643668375 0.00330992
3.1936476637667615 0.00456402
3.243117455274604 0.00605741
3.292583884255552 0.00807268
3.3420533735347466 0.0101334
3.3915208329544204 0.0127116
3.440987751476157 0.016895
3.490455735894072 0.0175345
3.539923776965465 0.0198457
3.5893921410106087 0.0241177
3.6388594973752038 0.0298089
3.688328147713719 0.0368948
3.7377959405311976 0.0406838
3.7872634741087965 0.0564109
3.836731629478519 0.0560458
3.8861995939089495 0.0648329
3.9356674516452066 0.074673
3.985135349823362 0.0950223
4.034604395322679 0.108358
4.084071989200302 0.14081
4.133538908370218 0.165064
