log[Age(Myr)] n4864_SAD
2.6989700043360187 9.4956e-05
2.7484376745664973 7.8371e-05
2.7979056993527007 5.41971e-05
2.8473739733267314 3.351e-05
2.8968413524209744 1.67913e-05
2.9463092780221425 5.44546e-06
2.9957773040840703 1.59091e-07
3.045244720478147 1.92488e-06
3.0947121423588384 7.3333e-05
3.1441817643668375 0.00037495
3.1936476637667615 0.000412424
3.243117455274604 0.000232958
3.292583884255552 0.000541722
3.3420533735347466 0.000362756
3.3915208329544204 0.000307403
3.440987751476157 0.000171879
3.490455735894072 0.00043221
3.539923776965465 0.00078745
3.5893921410106087 0.000896532
3.6388594973752038 0.0013641
3.688328147713719 0.00244105
3.7377959405311976 0.00375512
3.7872634741087965 0.00656997
3.836731629478519 0.0143792
3.8861995939089495 0.0223664
3.9356674516452066 0.0396296
3.985135349823362 0.0815137
4.034604395322679 0.165681
4.084071989200302 0.296495
4.133538908370218 0.360946
