log[Age(Myr)] 3484_AMR
2.6989700043360187 0.00548526
2.7484376745664973 0.00635149
2.7979056993527007 0.00908498
2.8473739733267314 0.0132634
2.8968413524209744 0.0134899
2.9463092780221425 0.0319272
2.9957773040840703 0.00460742
3.045244720478147 0.0221514
3.0947121423588384 0.0109794
3.1441817643668375 0.0306076
3.1936476637667615 0.0161086
3.243117455274604 0.0196984
3.292583884255552 0.0331911
3.3420533735347466 0.0186969
3.3915208329544204 0.0140009
3.440987751476157 0.0024041
3.490455735894072 0.0216931
3.539923776965465 0.0127593
3.5893921410106087 0.0329556
3.6388594973752038 0.0331892
3.688328147713719 0.0289358
3.7377959405311976 0.00713004
3.7872634741087965 0.0331918
3.836731629478519 0.033191
3.8861995939089495 0.00379275
3.9356674516452066 0.00625495
3.985135349823362 0.00439984
4.034604395322679 0.00579407
4.084071989200302 0.0331916
4.133538908370218 0.00794633
