log[Age(Myr)] 3254_SAD
2.6989700043360187 0.000807376
2.7484376745664973 0.00056514
2.7979056993527007 0.000307033
2.8473739733267314 0.000210269
2.8968413524209744 0.000128977
2.9463092780221425 6.23121e-05
2.9957773040840703 0.000220228
3.045244720478147 0.000501642
3.0947121423588384 0.000378751
3.1441817643668375 0.00260581
3.1936476637667615 0.00236639
3.243117455274604 0.00683751
3.292583884255552 0.00784751
3.3420533735347466 0.00941135
3.3915208329544204 0.0128791
3.440987751476157 0.0176027
3.490455735894072 0.0155801
3.539923776965465 0.0256018
3.5893921410106087 0.0222383
3.6388594973752038 0.0368869
3.688328147713719 0.0405373
3.7377959405311976 0.0455224
3.7872634741087965 0.0456162
3.836731629478519 0.0383546
3.8861995939089495 0.048039
3.9356674516452066 0.064024
3.985135349823362 0.085512
4.034604395322679 0.114306
4.084071989200302 0.14376
4.133538908370218 0.211299
